sheet,pattern,occurrences,example_cell,example_formula,business_rule_code,business_description,status
Besoins en micas,"=_XLFN.XLOOKUP(CELL,'DONNÉESSOMIDA'!CELL:CELL,'DONNÉESSOMIDA'!CELL:CELL)",108,C142,"=_xlfn.XLOOKUP(D142,'Données SOMIDA'!$C$31:$C$42,'Données SOMIDA'!$B$31:$B$42)",,,TO_REVIEW
Besoins en micas,"=IF(CELL=""CELLGAZ"",'DONNÉESSOMIDA'!CELL,VLOOKUP('BESOINSENMICAS'!CELL,'DONNÉESSOMIDA'!CELL:CELL,5,FALSE))",108,G142,"=IF(D142=""FP1 GAZ"",'Données SOMIDA'!$G$73,VLOOKUP('Besoins en micas'!E142,'Données SOMIDA'!$C$71:$G$77,5,FALSE))",,,TO_REVIEW
Besoins en micas,"=IF(CELL=""CELLGAZ"",'DONNÉESSOMIDA'!CELL,VLOOKUP(CELL,'DONNÉESSOMIDA'!CELL:CELL,3,FALSE))",108,I142,"=IF(D142=""FP1 GAZ"",'Données SOMIDA'!$E$73,VLOOKUP(E142,'Données SOMIDA'!$C$71:$E$75,3,FALSE))",,,TO_REVIEW
CA,=+COMMANDES!CELL,108,C4,=+Commandes!C28,,,TO_REVIEW
CA,=+CELL*'DONNÉESSOMIDA'!CELL*'DONNÉESSOMIDA'!CELL,108,C19,=+C4*'Données SOMIDA'!$D$79*'Données SOMIDA'!$E$6,,,TO_REVIEW
CA,"=IF(CELL=""CELLCOUPE"",'DONNÉESSOMIDA'!CELL,VLOOKUP(CELL,'DONNÉESSOMIDA'!CELL:CELL,5,FALSE))",108,H59,"=IF(C59=""FP1 COUPE"",'Données SOMIDA'!$G$83,VLOOKUP(E59,'Données SOMIDA'!$C$79:$G$85,5,FALSE))",,,TO_REVIEW
CA,=+CELL*CELL,108,I59,=+G59*H59,,,TO_REVIEW
AN,=-'I&T'!CELL/1000,108,D126,=-'I&T'!D3/1000,,,TO_REVIEW
Commandes,=SUM(CELL:CELL),106,O10,=SUM(C10:N10),,,TO_REVIEW
CA,=SUM(CELL:CELL),103,O4,=SUM(C4:N4),,,TO_REVIEW
Sal,=+FEUIL3!CELL,102,B30,=+Feuil3!B38,,,TO_REVIEW
Sal,=+CELL/CELL,97,R3,=+P3/$P$7,,,TO_REVIEW
Emprunts FD,=+CELL+1,95,B15,=+B14+1,,,TO_REVIEW
Besoins en micas,=+CELL+CELL+CELL,90,C56,=+C53+C48+C55,,,TO_REVIEW
Emprunts FD,"=IF(CELL="""","""",IF(CELL+1>CELL,"""",CELL*CELL))",90,G20,"=IF(A20="" "","" "",IF(A20+1>$D$8,"" "",E20*$E$8))",,,TO_REVIEW
