sheet,pattern,occurrences,example_cell,example_formula,business_rule_code,business_description,status
Sal,=+CELL*1%,13,D25,=+D24*1%,,,TO_REVIEW
Sal,"=SUMIF(CELL:CELL,""F"",CELL:CELL)",13,D183,"=SUMIF($Q$24:$Q$157,""F"",D24:D157)",,,TO_REVIEW
Sal,"=SUMIF(CELL:CELL,""V"",CELL:CELL)",13,D184,"=SUMIF($Q$24:$Q$157,""V"",D24:D157)",,,TO_REVIEW
Primes,=+COMMANDES!CELL,13,D2,=+Commandes!C9,,,TO_REVIEW
Achat,=+ACHAT!CELL,13,B45,=+Achat!B35,,,TO_REVIEW
Achat,=+CELL+CELL+CELL+CELL,13,D48,=+D44+D45+D46+D47,,,TO_REVIEW
Prestation,=+CELL+CELL+CELL+CELL,13,D127,=+D123+D124+D125+D126,,,TO_REVIEW
I&T,=+PRESTATION!CELL,13,D2,=+Prestation!D18,,,TO_REVIEW
I&T,=+CELL,13,D14,=+D2,,,TO_REVIEW
Autres,=+PRESTATION!CELL,13,C2,=+Prestation!D18,,,TO_REVIEW
Amort,=+PRESTATION!CELL,13,C2,=+Prestation!D18,,,TO_REVIEW
Frais financier,=+PRESTATION!CELL,13,C2,=+Prestation!D18,,,TO_REVIEW
CR Nature FD,=CELL-CELL,13,C14,=C10-C13,,,TO_REVIEW
CR Nature FD,"=IF(CELL>0,-(+CELL/CELL*CELL),"""")",13,C63,"=IF(C62>0,-(+C41/C39*C62),"""")",,,TO_REVIEW
CR Nature FD,"=IF(CELL>0,-CELL,"""")",13,C64,"=IF(C62>0,-C50,"""")",,,TO_REVIEW
CR Nature FD,"=IF(CELL>0,SUM(CELL:CELL),"""")",13,C65,"=IF(C62>0,SUM(C62:C64),"""")",,,TO_REVIEW
CR Nature FD,"=IFERROR((+CELL-CELL-CELL)/CA!CELL,"""")",13,C66,"=IFERROR((+C62-C7-C8)/CA!C53,"""")",,,TO_REVIEW
CR Nature FD,"=IFERROR(+CELL-CELL,"""")",13,C77,"=IFERROR(+C76-C74,"""")",,,TO_REVIEW
Invest FD,=+PRODUCTION!CELL,13,C2,=+Production!D18,,,TO_REVIEW
AN,"=+IF(CELL>0,CELL,0)",13,C248,"=+IF(C47>0,C47,0)",,,TO_REVIEW
AN,"=+IF(CELL<0,-CELL,0)",13,C277,"=+IF(C49<0,-C49,0)",,,TO_REVIEW
Stat,"=+SUMIF(CELL:CELL,CELL,CELL:CELL)",12,AB4,"=+SUMIF(P4:T39,X4,T4:T39)",,,TO_REVIEW
Commandes,=+'BESOINSENMICAS'!CELL,12,C9,=+'Besoins en micas'!C2,,,TO_REVIEW
Production,=+(CELL+CELL)*1000,12,D1,=+(D9+D10)*1000,,,TO_REVIEW
Production,=+CA!CELL*1000,12,D57,=+CA!C14*1000,,,TO_REVIEW
Production,=+'CRNATUREFD'!CELL+'CRNATUREFD'!CELL,12,D68,=+'CR Nature FD'!C41+'CR Nature FD'!C50,,,TO_REVIEW
Traitement,"=+HLOOKUP(CELL,CELL:CELL,2,FALSE)",12,B121,"=+HLOOKUP($B$119,$B$112:$M$116,2,FALSE)",,,TO_REVIEW
Traitement,"=+HLOOKUP(CELL,CELL:CELL,3,FALSE)",12,B122,"=+HLOOKUP(B119,$B$112:$M$116,3,FALSE)",,,TO_REVIEW
Traitement,"=+HLOOKUP(CELL,CELL:CELL,4,FALSE)",12,B123,"=+HLOOKUP(B119,$B$112:$M$116,4,FALSE)",,,TO_REVIEW
Traitement,"=+HLOOKUP(CELL,CELL:CELL,5,FALSE)",12,B124,"=+HLOOKUP(B119,$B$112:$M$116,5,FALSE)",,,TO_REVIEW
Besoins en micas,=+PRODUCTION!CELL*100/80,12,C5,=+Production!D11*100/80,,,TO_REVIEW
Besoins en micas,=+CELL*(1-CELL),12,K14,=+K3*(1-$C$8),,,TO_REVIEW
Besoins en micas,"=IFERROR((-CELL+CELL),"""")",12,D28,"=IFERROR((-C27+D27),"""")",,,TO_REVIEW
Besoins en micas,=CELL*'DONNÉESSOMIDA'!CELL,12,C33,=C5*'Données SOMIDA'!$D$58,,,TO_REVIEW
Besoins en micas,=(+CELL)*'DONNÉESSOMIDA'!CELL,12,C61,=(+C45)*'Données SOMIDA'!$G$72,,,TO_REVIEW
Besoins en micas,"=IFERROR(+#REF!/#REF!,"""")",12,C96,"=IFERROR(+#REF!/#REF!,"" "")",,,TO_REVIEW
Feuil3,=+CELL/12,12,F10,=+D10/12,,,TO_REVIEW
CA,=+CELL/1000,12,D38,=+C34/1000,,,TO_REVIEW
Sal,=+CELL*CELL*CELL/2,12,D18,=+$C$18*$C$10*D8/2,,,TO_REVIEW
Sal,=-CELL*1%,12,D162,=-D160*1%,,,TO_REVIEW
Sal,=-CELL*2000,12,D163,=-$C$164*2000,,,TO_REVIEW
Sal,=-CELL/8,12,D168,=-D167/8,,,TO_REVIEW
Sal,=-CELL*18%,12,D170,=-D166*18%,,,TO_REVIEW
Sal,=CELL+CELL,12,D181,=D164+D171,,,TO_REVIEW
Sal,=(+CELL-CELL)*18%+CELL,12,D186,=(+D184-D24)*18%+D25,,,TO_REVIEW
Détails Achats direct,=+CELL+CELL+CELL,12,D15,=+D13+D8+D14,,,TO_REVIEW
Détails Achats direct,=+SUM(PRODUCTION!CELL:CELL),12,D22,=+SUM(Production!D9:D11),,,TO_REVIEW
Détails Achats direct,=+CELL/50,12,D24,=+D22/50,,,TO_REVIEW
Détails Achats direct,=((+PRODUCTION!CELL+PRODUCTION!CELL+PRODUCTION!CELL+PRODUCTION!CELL))/50,12,D25,=((+Production!D19+Production!D20+Production!D26+Production!D27))/50,,,TO_REVIEW
Détails Achats direct,=+CELL*CELL+CELL*CELL,12,D26,=+D24*$D$18+D25*$D$19,,,TO_REVIEW
Détails Achats direct,=+CELL*0.1,12,D32,=+D31*0.1,,,TO_REVIEW
Primes,"=ROUNDDOWN(+CELL*CELL,-2)",12,D35,"=ROUNDDOWN(+D29*D23,-2)",,,TO_REVIEW
Primes,=+CELL*CELL+CELL+CELL,12,D48,=+D47*$B$48+D42+D36,,,TO_REVIEW
Achat,=+SUM(CELL:CELL)*5%,12,D28,=+SUM(D4:D27)*5%,,,TO_REVIEW
Achat,=+CELL*0.2,12,D34,=+D31*0.2,,,TO_REVIEW
Achat,=+CELL*0.05,12,D37,=+D33*0.05,,,TO_REVIEW
Achat,=CELL,12,D44,=C48,,,TO_REVIEW
Achat,=-CELL,12,D47,=-D45,,,TO_REVIEW
Prestation,=(+CA!CELL+CA!CELL)/20,12,D4,=(+CA!C4+CA!C9)/20,,,TO_REVIEW
Prestation,=(+CA!CELL+CA!CELL)/17.8,12,D5,=(+CA!C5+CA!C10)/17.8,,,TO_REVIEW
Prestation,=(+CA!CELL+CA!CELL)/25.2,12,D6,=(+CA!C7+CA!C12)/25.2,,,TO_REVIEW
Prestation,=+CA!CELL/20,12,D7,=+CA!C14/20,,,TO_REVIEW
Prestation,=(+CA!CELL+CA!CELL)/28,12,D10,=(+CA!C6+CA!C11)/28,,,TO_REVIEW
Prestation,=+COMMANDES!CELL+COMMANDES!CELL+COMMANDES!CELL,12,D19,=+Commandes!C14+Commandes!C21+Commandes!C25,,,TO_REVIEW
Prestation,=+CA!CELL*CELL,12,D23,=+CA!C15*$C$15,,,TO_REVIEW
Prestation,=+(PRODUCTION!CELL+PRODUCTION!CELL)*CELL,12,D35,=+(Production!D9+Production!D10)*$C$32,,,TO_REVIEW
Prestation,=+CELL*CELL*28*1000,12,D36,=+$C$33*D7*28*1000,,,TO_REVIEW
Prestation,=(+CA!CELL+CA!CELL)*1000*CELL,12,D39,=(+CA!C6+CA!C11)*1000*$C$34,,,TO_REVIEW
Prestation,=+'BESOINSENMICAS'!CELL,12,D57,=+'Besoins en micas'!C78,,,TO_REVIEW
Prestation,=(+CELL)*4,12,D61,=(+D63)*4,,,TO_REVIEW
Prestation,=SUM(CELL:CELL)*5%,12,D70,=SUM(D42:D69)*5%,,,TO_REVIEW
Prestation,=+CELL*0.2,12,D78,=+D75*0.2,,,TO_REVIEW
Prestation,=+CELL*0.05,12,D81,=+D76*0.05,,,TO_REVIEW
Prestation,=-CELL,12,D125,=-D124,,,TO_REVIEW
I&T,=+(COMMANDES!CELL+COMMANDES!CELL+COMMANDES!CELL)*'OKBTRAABR'!CELL,12,D3,=+(Commandes!C14+Commandes!C21+Commandes!C25)*' OKB TRA ABR'!$B$22,,,TO_REVIEW
I&T,=+CA!CELL,12,D5,=+CA!C50,,,TO_REVIEW
I&T,=+ACHAT!CELL+PRESTATION!CELL,12,D11,=+Achat!D37+Prestation!D81,,,TO_REVIEW
I&T,"=SUMIF(CELL:CELL,""F"",CELL:CELL)",12,D15,"=SUMIF($Q$3:$Q$10,""F"",D3:D10)",,,TO_REVIEW
I&T,"=SUMIF(CELL:CELL,""V"",CELL:CELL)",12,D16,"=SUMIF($Q$3:$Q$10,""V"",D3:D10)",,,TO_REVIEW
Frais financier,=+'DÉTAILSFFFD'!CELL,12,C3,=+'Détails FF FD'!C3,,,TO_REVIEW
CR Nature FD,"=IFERROR(+PRODUCTION!CELL,"""")",12,C9,"=IFERROR(+Production!D65,"""")",,,TO_REVIEW
CR Nature FD,=+SAL!CELL,12,C15,=+Sal!D174,,,TO_REVIEW
CR Nature FD,=CELL-CELL-CELL,12,C17,=C14-C15-C16,,,TO_REVIEW
CR Nature FD,=CELL+CELL-CELL-CELL+CELL,12,C23,=C17+C18-C19-C20+C22,,,TO_REVIEW
CR Nature FD,=CELL+CELL+CELL+CELL,12,C30,=C10+C18+C22+C24,,,TO_REVIEW
CR Nature FD,=CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL,12,C31,=C13+C15+C16+C19+C20+C25+C28+C29,,,TO_REVIEW
CR Nature FD,=+COMMANDES!CELL,12,C72,=+Commandes!C2,,,TO_REVIEW
Etat_Trésorerie FD,=-(+AN!CELL+AN!CELL)*0.6-(AN!CELL+AN!CELL),12,D18,=-(+AN!D67+AN!D68)*0.6-(AN!D81+AN!D82),,,TO_REVIEW
Etat_Trésorerie FD,=-(+AN!CELL+AN!CELL)*0.4,12,D19,=-(+AN!D67+AN!D68)*0.4,,,TO_REVIEW
Etat_Trésorerie FD,=-+AN!CELL,12,D40,=-+AN!D148,,,TO_REVIEW
Etat_Trésorerie FD,=-'DÉTAILSFFFD'!CELL/1000,12,D49,=-'Détails FF FD'!C3/1000,,,TO_REVIEW
Etat_Trésorerie FD,=-AN!CELL+AN!CELL,12,D64,=-AN!D115+AN!D185,,,TO_REVIEW
Etat_Trésorerie FD,=CELL+CELL+CELL+CELL+CELL-SUM(CELL:CELL),12,D79,=D71+D17+D41+D48+D59-SUM(D74:D77),,,TO_REVIEW
Etat_Trésorerie FD,"=CELL+SUM(CELL:CELL)+SUM(CELL,CELL,CELL,CELL)",12,D80,"=D72+SUM(D74:D77)+SUM(D67,D44,D37,D53)",,,TO_REVIEW
AN,=-ACHAT!CELL/1000,12,D66,=-Achat!D35/1000,,,TO_REVIEW
AN,=-PRESTATION!CELL/1000,12,D80,=-Prestation!D79/1000,,,TO_REVIEW
AN,=SAL!CELL/1000,12,D89,=Sal!D181/1000,,,TO_REVIEW
AN,=(SAL!CELL+SAL!CELL)/1000,12,D95,=(Sal!D178+Sal!D179)/1000,,,TO_REVIEW
AN,=+SAL!CELL/1000,12,D107,=+Sal!D180/1000,,,TO_REVIEW
AN,=-CA!CELL/1000,12,D120,=-CA!C33/1000,,,TO_REVIEW
AN,=-AUTRES!CELL/1000,12,D154,=-Autres!C5/1000,,,TO_REVIEW
AN,=+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL,12,D158,=+D155+D154+D149+D148+D147+D142+D141+D140+D135+D134+D133+D132+D131+D130+D129+D128+D126+D115+D114+D113+D108+D107+D102+D101+D96+D95+D90+D89+D85+D82+D81+D80+D75+D74+D73+D68+D67+D66+D120+D121,,,TO_REVIEW
AN,=+PRODUCTION!CELL*PRODUCTION!CELL/1000,12,D163,=+Production!D54*Production!$P$71/1000,,,TO_REVIEW
AN,=-PRODUCTION!CELL*PRODUCTION!CELL/1000,12,D164,=-Production!D58*Production!$P$71/1000,,,TO_REVIEW
AN,=-'BESOINSENMICAS'!CELL*'BESOINSENMICAS'!CELL/1000,12,D167,=-'Besoins en micas'!C17*'Besoins en micas'!$O$91/1000,,,TO_REVIEW
AN,=+'BESOINSENMICAS'!CELL*'BESOINSENMICAS'!CELL/1000,12,D168,=+'Besoins en micas'!C21*'Besoins en micas'!$O$91/1000,,,TO_REVIEW
AN,=ACHAT!CELL/1000+PRESTATION!CELL/1000,12,D191,=Achat!D34/1000+Prestation!D78/1000,,,TO_REVIEW
AN,=+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL,12,D215,=+D212+D211+D207+D204+D203+D198+D197+D192+D191+D186+D185+D180+D179+D174+D164+D163+D167+D168,,,TO_REVIEW
AN,=-'DÉTAILSFFFD'!CELL/1000,12,D223,=-'Détails FF FD'!C3/1000,,,TO_REVIEW
AN,=-CELL-CELL-CELL-CELL-CELL-CELL,12,D227,=-D58-D180-D198-D212-D204-D148,,,TO_REVIEW
AN,=-(+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL)+CELL-CELL-CELL,12,D228,=-(+D67+D68+D74+D75+D81+D82+D90+D96+D102+D108+D115+D135+D142+D149+D155)+D223-D61-D60,,,TO_REVIEW
AN,=(+CELL-CELL),12,D261,=(+C261-D12),,,TO_REVIEW
Emprunts FD,=+CELL,12,E3,=+B8,,,TO_REVIEW
Détails FF FD,=+CELL+CELL,12,C19,=+C12+C5,,,TO_REVIEW
FORT DAUPHIN,=+CELL,11,E139,=+E5,,,TO_REVIEW
Stat,=SUM(CELL:CELL),11,Y16,=SUM(Y4:Y15),,,TO_REVIEW
Commandes,=+'DONNÉESSOMIDA'!CELL,11,B9,=+'Données SOMIDA'!C31,,,TO_REVIEW
Feuil3,=+CELL+CELL+CELL+CELL+CELL,11,C57,=+C54+C27+C20+C12+C33,,,TO_REVIEW
Détails Achats direct,=430000*3,11,D31,=430000*3,,,TO_REVIEW
Données SOMIDA,=+(CELL+CELL)/CELL,10,D109,=+(D89+D90)/$D$58,,,TO_REVIEW
Org,=+CELL*25,10,AA100,=+N100*25,,,TO_REVIEW
OKB FP1,=CELL,10,B7,=$B$3,,,TO_REVIEW
AMPANDRANDAVA,"=""GARDIEN""",10,D22,"=""GARDIEN""",,,TO_REVIEW
Primes,=+'DONNÉESSOMIDA'!CELL,10,B8,=+'Données SOMIDA'!D62,,,TO_REVIEW
Prestation,=CELL*CELL,10,G90,=D90*E90,,,TO_REVIEW
AN,=-'INVESTFD'!CELL/1000,10,D73,=-'Invest FD'!C10/1000,,,TO_REVIEW
FORT DAUPHIN,"=""""",9,A138,"=""""",,,TO_REVIEW
Feuil1,=+CELL/1.2,9,D4,=+C4/1.2,,,TO_REVIEW
Feuil1,=+CELL*0.2,9,E4,=+D4*0.2,,,TO_REVIEW
Feuil1,=+CELL+CELL,9,F4,=+D4+E4,,,TO_REVIEW
Feuil1,=+CELL,9,H4,=+D4,,,TO_REVIEW
Feuil1,=+CELL-CELL,9,I4,=+K4-J4,,,TO_REVIEW
Feuil1,"=ROUNDUP(+CELL*CELL,0)",9,J4,"=ROUNDUP(+E4*G4,0)",,,TO_REVIEW
Feuil1,=+CELL+CELL-CELL,9,L4,=+I4+J4-K4,,,TO_REVIEW
AN,=+'I&T'!CELL,9,B126,=+'I&T'!B3,,,TO_REVIEW
Goodeis,=CELL+CELL,8,L51,=E23+L40,,,TO_REVIEW
AMPANDRANDAVA,"=""AGENTDESECURITE""",8,D3,"=""AGENT DE SECURITE""",,,TO_REVIEW
Primes,=+SAL!CELL,8,B59,=+Sal!A47,,,TO_REVIEW
Données SOMIDA,=+CELL+CELL,7,N71,=+E71+G71,,,TO_REVIEW
Stat,=+CELL-CELL,7,F113,=+F112-Q40,,,TO_REVIEW
 OKB TRA ABR,=CELL,7,B21,=$B$9,,,TO_REVIEW
Goodeis,=CELL,7,C29,=$B$6,,,TO_REVIEW
Org (2),=+CELL*25,7,N217,=+N215*25,,,TO_REVIEW
Détails,=+CELL*5,7,C25,=+B25*5,,,TO_REVIEW
Besoins en micas,=+'DONNÉESSOMIDA'!CELL,7,B3,=+'Données SOMIDA'!C31,,,TO_REVIEW
Besoins en micas,=+CELL/CELL,7,P34,=+O34/O6,,,TO_REVIEW
Sal,=-CELL-CELL,7,D194,=-D192-D193,,,TO_REVIEW
Données SOMIDA,"=+IF(CELL=""EUR"",CELL,CELL)*CELL",6,G79,"=+IF(E79=""EUR"",$E$6,$E$5)*D79",,,TO_REVIEW
Org,=+CELL*(1+CELL),6,L133,=+$K$133*(1+L122),,,TO_REVIEW
Org (2),=+CELL*(1+CELL),6,L241,=+$K$241*(1+L230),,,TO_REVIEW
Traitement,=SUM(CELL:CELL),6,C1,=SUM(B2:B4),,,TO_REVIEW
Feuil3,=+CELL*0.05*0,6,I23,=+H23*0.05*0,,,TO_REVIEW
CA,=-CELL*0.9,6,E39,=-E38*0.9,,,TO_REVIEW
Prestation,=CELL,6,D90,=$B$9,,,TO_REVIEW
Invest FD,=+CELL*0.1/12,6,C14,=+C4*0.1/12,,,TO_REVIEW
Feuil1,=SUM(CELL:CELL),6,C13,=SUM(C4:C12),,,TO_REVIEW
Emprunts FD,=+CELL+CELL,6,B8,=+C8+D8,,,TO_REVIEW
Emprunts FD,=+CELL*CELL,6,G14,=+E14*$E$8,,,TO_REVIEW
 OKB TRA ABR,=SUM(CELL:CELL),5,E17,=SUM(E15:E16),,,TO_REVIEW
OKB FP1,=SUM(CELL:CELL),5,E19,=SUM(E16:E18),,,TO_REVIEW
Goodeis,=SUM(CELL:CELL),5,E23,=SUM(E19:E22),,,TO_REVIEW
Org (2),"=+SUMIF(CELL:CELL,CELL,CELL:CELL)",5,AM23,"=+SUMIF($AU$14:$AU$20,$AU$17,AM14:AQ20)",,,TO_REVIEW
AMPANDRANDAVA,"=""TEMPORAIRE""",5,U2,"=""TEMPORAIRE""",,,TO_REVIEW
Détails,=+CELL,5,G62,=+C25,,,TO_REVIEW
Production,=+'BESOINSENMICAS'!CELL,5,B77,=+'Besoins en micas'!B113,,,TO_REVIEW
Feuil3,=+SAL!CELL,5,P70,=+Sal!P176,,,TO_REVIEW
Sal,=-CELL-CELL*0.6,5,F194,=-F193-F192*0.6,,,TO_REVIEW
Prestation,=+CELL/CELL,5,Q28,=+P28/C28,,,TO_REVIEW
AN,=-CELL-CELL*0.6,5,F90,=-F89-F88*0.6,,,TO_REVIEW
FORT DAUPHIN,"=SUBTOTAL(9,CELL)",4,G198,"=SUBTOTAL(9,G197)",,,TO_REVIEW
Données SOMIDA,"=ROUND(+CELL*CELL,0)",4,L18,"=ROUND(+L48*G18,0)",,,TO_REVIEW
Données SOMIDA,=+CELL/28,4,M18,=+K18/28,,,TO_REVIEW
Données SOMIDA,=+CELL/25,4,F20,=+E20/25,,,TO_REVIEW
Données SOMIDA,=+CELL/CELL,4,F54,=+F48/F53,,,TO_REVIEW
Org (2),=+CELL*0.13,4,AQ43,=+AM43*0.13,,,TO_REVIEW
Org (2),=+CELL*0.5,4,AT43,=+AM43*0.5,,,TO_REVIEW
AMPANDRANDAVA,"=""TREUILLISTE""",4,D25,"=""TREUILLISTE""",,,TO_REVIEW
Commande à honorer,=SUM(CELL:CELL),4,E17,=SUM(E3:E16),,,TO_REVIEW
Commandes,=+CELL*1000/50,4,E4,=+C4*1000/50,,,TO_REVIEW
Production,=+CELL/CELL,4,R3,=+P3/$P$6,,,TO_REVIEW
Traitement,=+CELL,4,A121,=+A113,,,TO_REVIEW
Besoins en micas,"=+SUBTOTAL(9,CELL:CELL)",4,F140,"=+SUBTOTAL(9,F142:F249)",,,TO_REVIEW
CA,=-CELL*1.1,4,G39,=-G38*1.1,,,TO_REVIEW
CA,"=+SUBTOTAL(9,CELL:CELL)",4,G57,"=+SUBTOTAL(9,G59:G166)",,,TO_REVIEW
CA,"=IFERROR(+CELL/CELL,"""")",4,H167,"=IFERROR(+I167/G167,"""")",,,TO_REVIEW
Primes,=2.5*25,4,D16,=2.5*25,,,TO_REVIEW
Prestation,=+PRODUCTION!CELL,4,B4,=+Production!B26,,,TO_REVIEW
Prestation,=+CELL/4500,4,S30,=+S29/4500,,,TO_REVIEW
Amort,"=""DOT.AMORT""&""""&'INVESTFD'!CELL",4,B5,"=""DOT.AMORT""& "" ""&  'Invest FD'!B4",,,TO_REVIEW
Etat_Trésorerie FD,=CELL,4,P71,=O71,,,TO_REVIEW
Données SOMIDA,=+CELL-CELL,3,F19,=+F48-F18,,,TO_REVIEW
Org,=+CELL*0.13,3,BA31,=+AW31*0.13,,,TO_REVIEW
Org,=+CELL*0.5,3,BD31,=+AW31*0.5,,,TO_REVIEW
Org,"=+SUMIF(CELL:CELL,CELL,CELL:CELL)",3,F81,"=+SUMIF(W63:W78,W66,F63:I78)",,,TO_REVIEW
Recap coupeuses FD,=CELL*2000,3,N8,=B8*2000,,,TO_REVIEW
Recap coupeuses FD,=CELL-CELL,3,O8,=M8-N8,,,TO_REVIEW
AMPANDRANDAVA,"=""HC""",3,F7,"=""HC""",,,TO_REVIEW
AMPANDRANDAVA,"=""OLIVIER""",3,C8,"=""Olivier""",,,TO_REVIEW
AMPANDRANDAVA,"=""CHEFDEPOSTE""",3,D10,"=""CHEF DE POSTE""",,,TO_REVIEW
AMPANDRANDAVA,"=""MAKA""",3,B12,"=""MAKA""",,,TO_REVIEW
AMPANDRANDAVA,"=""OUVRIERCELL""",3,D47,"=""Ouvrier IRF1""",,,TO_REVIEW
AMPANDRANDAVA,"=""OUVRIERBENNE""",3,D49,"=""Ouvrier Benne""",,,TO_REVIEW
Recap coupeuses Ampandra,=+CELL/CELL,3,N6,=+J6/A6,,,TO_REVIEW
Détails,=+CELL*6,3,F62,=+E62*6,,,TO_REVIEW
Détails,=+CELL*0.25,3,C97,=+B97*0.25,,,TO_REVIEW
Production,=+CELL/(CELL+CELL),3,R23,=+P23/(P23+P30),,,TO_REVIEW
Production,=+CELL*25,3,D39,=+C39*25,,,TO_REVIEW
CA,=AVERAGE(CELL:CELL),3,Q53,=AVERAGE(C53:N53),,,TO_REVIEW
Primes,=+CELL+CELL,3,I20,=+H20+G20,,,TO_REVIEW
Emprunts FD,=+SUM(CELL:CELL),3,F110,=+SUM(F14:F109),,,TO_REVIEW
FORT DAUPHIN,=+CELL+CELL,2,C247,=+C246+L246,,,TO_REVIEW
FORT DAUPHIN,=+CELL/2,2,G247,=+G246/2,,,TO_REVIEW
Données SOMIDA,"=ROUND(+CELL*CELL,1)",2,F18,"=ROUND(+G18*F48,1)",,,TO_REVIEW
Données SOMIDA,=+'DÉTAILSACHATSDIRECT'!CELL,2,C41,=+'Détails Achats direct'!C18,,,TO_REVIEW
Données SOMIDA,=+PRODUCTION!CELL,2,G49,=+Production!R23,,,TO_REVIEW
Données SOMIDA,=+COMMANDES!CELL,2,C79,=+Commandes!B28,,,TO_REVIEW
Données SOMIDA,=+SUM(CELL:CELL),2,R96,=+SUM(P96:P99),,,TO_REVIEW
Org,=1*0,2,M69,=1*0,,,TO_REVIEW
 OKB TRA ABR,=CELL+CELL,2,E44,=E17+E31,,,TO_REVIEW
OKB FP1,=+CELL/1.2,2,B46,=+B37/1.2,,,TO_REVIEW
OKB FP1,=CELL+CELL,2,E46,=E19+E33,,,TO_REVIEW
Goodeis,=CELL-CELL,2,D7,=B7-C7,,,TO_REVIEW
Goodeis,=CELL*1000,2,C19,=$B$2*1000,,,TO_REVIEW
Goodeis,=CELL/3,2,E57,=E50/3,,,TO_REVIEW
Recap coupeuses FD,='RECAPCOUPEUSESFD'!CELL,2,M9,='Recap coupeuses FD'!D9,,,TO_REVIEW
AMPANDRANDAVA,"=""MOSA""",2,C2,"=""Mosa""",,,TO_REVIEW
AMPANDRANDAVA,"=""TEMPCENTRALE""",2,D2,"=""TEMP CENTRALE""",,,TO_REVIEW
AMPANDRANDAVA,"=""4A""",2,F3,"=""4A""",,,TO_REVIEW
AMPANDRANDAVA,"=""3A""",2,F10,"=""3A""",,,TO_REVIEW
AMPANDRANDAVA,"=""VIREMENT""",2,W10,"=""Virement""",,,TO_REVIEW
AMPANDRANDAVA,"=""LAHA""",2,B11,"=""LAHA""",,,TO_REVIEW
AMPANDRANDAVA,"=""GILBERT""",2,C12,"=""Gilbert""",,,TO_REVIEW
AMPANDRANDAVA,"=""AIDEMECANICIEN""",2,D12,"=""AIDE MECANICIEN""",,,TO_REVIEW
AMPANDRANDAVA,"=""CELLA""",2,F15,"=""OP2A""",,,TO_REVIEW
AMPANDRANDAVA,"=""MANOLOSOA""",2,B19,"=""MANOLOSOA""",,,TO_REVIEW
AMPANDRANDAVA,"=""MACHINISTE""",2,D19,"=""MACHINISTE""",,,TO_REVIEW
AMPANDRANDAVA,"=""AIDEMACHINISTE""",2,D20,"=""AIDE MACHINISTE""",,,TO_REVIEW
AMPANDRANDAVA,"=""MONJA""",2,B40,"=""MONJA""",,,TO_REVIEW
Commande à honorer,"=SUMIF(CELL:CELL,""TRA"",CELL:CELL)",2,E19,"=SUMIF(D3:D16,""TRA"",E3:E16)",,,TO_REVIEW
Commande à honorer,"=SUMIF(CELL:CELL,""ABR"",CELL:CELL)",2,E20,"=SUMIF(D3:D16,""ABR"",E3:E16)",,,TO_REVIEW
Commande à honorer,"=SUMIF(CELL:CELL,""CELL"",CELL:CELL)",2,E21,"=SUMIF(D3:D16,""FP1"",E3:E16)",,,TO_REVIEW
Commande à honorer,"=SUMIF(CELL:CELL,""SFP"",CELL:CELL)",2,E22,"=SUMIF(D3:D16,""S FP"",E3:E16)",,,TO_REVIEW
Détails,=+CELL*2,2,J36,=+I36*2,,,TO_REVIEW
Détails,=+CELL*0.7,2,D44,=+C44*0.7,,,TO_REVIEW
Détails,=+CELL*0.45,2,C86,=+C85*0.45,,,TO_REVIEW
Détails,=+CELL/12,2,D100,=+C100/12,,,TO_REVIEW
Production,=0.05*4000,2,W39,=0.05*4000,,,TO_REVIEW
Production,"=+IF((CA!#REF!-PRODUCTION!CELL)>0,ROUNDUP((CA!#REF!-PRODUCTION!CELL),2)&""""&""BÉNÉF"",ROUNDUP((CA!#REF!-PRODUCTION!CELL),2)&""""&""PERTES"")",2,U42,"=+IF((CA!#REF!-Production!T42)>0,ROUNDUP((CA!#REF!-Production!T42),2)&"" ""&""Bénéf"",ROUNDUP((CA!#REF!-Production!T42),2)&"" ""&""Pertes"")",,,TO_REVIEW
Besoins en micas,=+CELL-CELL,2,F251,=+F250-O17,,,TO_REVIEW
Feuil3,=+CELL-CELL,2,P76,=+P61-P70,,,TO_REVIEW
CA,=+SUM(CELL:CELL),2,Q7,=+SUM(O4:O7),,,TO_REVIEW
Détails Achats direct,=+CELL*1.2,2,F18,=+D18*1.2,,,TO_REVIEW
Primes,"=+ORG!CELL&""EQUIPE=""&CELL",2,D61,"=+Org!M62&"" Equipe = ""&F16",,,TO_REVIEW
