sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format,context
Commandes,H11,11,8,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,F9==+'Besoins en micas'!F2 | G9==+'Besoins en micas'!G2 | H9==+'Besoins en micas'!H2 | I9==+'Besoins en micas'!I2 | J9==+'Besoins en micas'!J2 | F10=1 | G10=0 | H10=1 | I10=0 | J10=1 | F11=0 | G11=1 | I11=1 | J11=0 | F12=9 | G12=9 | H12=9 | I12=9 | J12=9 | F13=3 | G13=3 | H13=3 | I13=3 | J13=3
Commandes,I11,11,9,NUMBER,1,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,G9==+'Besoins en micas'!G2 | H9==+'Besoins en micas'!H2 | I9==+'Besoins en micas'!I2 | J9==+'Besoins en micas'!J2 | K9==+'Besoins en micas'!K2 | G10=0 | H10=1 | I10=0 | J10=1 | K10=0 | G11=1 | H11=0 | J11=0 | K11=1 | G12=9 | H12=9 | I12=9 | J12=9 | K12=9 | G13=3 | H13=3 | I13=3 | J13=3 | K13=3
Commandes,J11,11,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,H9==+'Besoins en micas'!H2 | I9==+'Besoins en micas'!I2 | J9==+'Besoins en micas'!J2 | K9==+'Besoins en micas'!K2 | L9==+'Besoins en micas'!L2 | H10=1 | I10=0 | J10=1 | K10=0 | L10=1 | H11=0 | I11=1 | K11=1 | L11=0 | H12=9 | I12=9 | J12=9 | K12=9 | L12=9 | H13=3 | I13=3 | J13=3 | K13=3 | L13=3
Commandes,K11,11,11,NUMBER,1,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,I9==+'Besoins en micas'!I2 | J9==+'Besoins en micas'!J2 | K9==+'Besoins en micas'!K2 | L9==+'Besoins en micas'!L2 | M9==+'Besoins en micas'!M2 | I10=0 | J10=1 | K10=0 | L10=1 | M10=0 | I11=1 | J11=0 | L11=0 | M11=1 | I12=9 | J12=9 | K12=9 | L12=9 | M12=9 | I13=3 | J13=3 | K13=3 | L13=3 | M13=3
Commandes,L11,11,12,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,J9==+'Besoins en micas'!J2 | K9==+'Besoins en micas'!K2 | L9==+'Besoins en micas'!L2 | M9==+'Besoins en micas'!M2 | N9==+'Besoins en micas'!N2 | J10=1 | K10=0 | L10=1 | M10=0 | N10=1 | J11=0 | K11=1 | M11=1 | N11=0 | J12=9 | K12=9 | L12=9 | M12=9 | N12=9 | J13=3 | K13=3 | L13=3 | M13=3 | N13=3
Commandes,M11,11,13,NUMBER,1,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,K9==+'Besoins en micas'!K2 | L9==+'Besoins en micas'!L2 | M9==+'Besoins en micas'!M2 | N9==+'Besoins en micas'!N2 | O9=Total | K10=0 | L10=1 | M10=0 | N10=1 | O10==SUM(C10:N10) | K11=1 | L11=0 | N11=0 | O11==SUM(C11:N11) | K12=9 | L12=9 | M12=9 | N12=9 | O12==SUM(C12:N12) | K13=3 | L13=3 | M13=3 | N13=3 | O13==SUM(C13:N13)
Commandes,N11,11,14,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,L9==+'Besoins en micas'!L2 | M9==+'Besoins en micas'!M2 | N9==+'Besoins en micas'!N2 | O9=Total | L10=1 | M10=0 | N10=1 | O10==SUM(C10:N10) | L11=0 | M11=1 | O11==SUM(C11:N11) | L12=9 | M12=9 | N12=9 | O12==SUM(C12:N12) | L13=3 | M13=3 | N13=3 | O13==SUM(C13:N13)
Commandes,C12,12,3,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B10==+B28 | C10=0 | D10=1 | E10=0 | B11==+B29 | C11=1 | D11=0 | E11=1 | B12==+B30 | D12=9 | E12=9 | B13==+B31 | C13=3 | D13=3 | E13=3 | B14==+B32 | C14==SUM(C10:C13) | D14==SUM(D10:D13) | E14==SUM(E10:E13)
Commandes,D12,12,4,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B10==+B28 | C10=0 | D10=1 | E10=0 | F10=1 | B11==+B29 | C11=1 | D11=0 | E11=1 | F11=0 | B12==+B30 | C12=9 | E12=9 | F12=9 | B13==+B31 | C13=3 | D13=3 | E13=3 | F13=3 | B14==+B32 | C14==SUM(C10:C13) | D14==SUM(D10:D13) | E14==SUM(E10:E13) | F14==SUM(F10:F13)
Commandes,E12,12,5,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,C10=0 | D10=1 | E10=0 | F10=1 | G10=0 | C11=1 | D11=0 | E11=1 | F11=0 | G11=1 | C12=9 | D12=9 | F12=9 | G12=9 | C13=3 | D13=3 | E13=3 | F13=3 | G13=3 | C14==SUM(C10:C13) | D14==SUM(D10:D13) | E14==SUM(E10:E13) | F14==SUM(F10:F13) | G14==SUM(G10:G13)
Commandes,F12,12,6,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,D10=1 | E10=0 | F10=1 | G10=0 | H10=1 | D11=0 | E11=1 | F11=0 | G11=1 | H11=0 | D12=9 | E12=9 | G12=9 | H12=9 | D13=3 | E13=3 | F13=3 | G13=3 | H13=3 | D14==SUM(D10:D13) | E14==SUM(E10:E13) | F14==SUM(F10:F13) | G14==SUM(G10:G13) | H14==SUM(H10:H13)
Commandes,G12,12,7,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,E10=0 | F10=1 | G10=0 | H10=1 | I10=0 | E11=1 | F11=0 | G11=1 | H11=0 | I11=1 | E12=9 | F12=9 | H12=9 | I12=9 | E13=3 | F13=3 | G13=3 | H13=3 | I13=3 | E14==SUM(E10:E13) | F14==SUM(F10:F13) | G14==SUM(G10:G13) | H14==SUM(H10:H13) | I14==SUM(I10:I13)
Commandes,H12,12,8,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,F10=1 | G10=0 | H10=1 | I10=0 | J10=1 | F11=0 | G11=1 | H11=0 | I11=1 | J11=0 | F12=9 | G12=9 | I12=9 | J12=9 | F13=3 | G13=3 | H13=3 | I13=3 | J13=3 | F14==SUM(F10:F13) | G14==SUM(G10:G13) | H14==SUM(H10:H13) | I14==SUM(I10:I13) | J14==SUM(J10:J13)
Commandes,I12,12,9,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,G10=0 | H10=1 | I10=0 | J10=1 | K10=0 | G11=1 | H11=0 | I11=1 | J11=0 | K11=1 | G12=9 | H12=9 | J12=9 | K12=9 | G13=3 | H13=3 | I13=3 | J13=3 | K13=3 | G14==SUM(G10:G13) | H14==SUM(H10:H13) | I14==SUM(I10:I13) | J14==SUM(J10:J13) | K14==SUM(K10:K13)
Commandes,J12,12,10,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,H10=1 | I10=0 | J10=1 | K10=0 | L10=1 | H11=0 | I11=1 | J11=0 | K11=1 | L11=0 | H12=9 | I12=9 | K12=9 | L12=9 | H13=3 | I13=3 | J13=3 | K13=3 | L13=3 | H14==SUM(H10:H13) | I14==SUM(I10:I13) | J14==SUM(J10:J13) | K14==SUM(K10:K13) | L14==SUM(L10:L13)
Commandes,K12,12,11,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,I10=0 | J10=1 | K10=0 | L10=1 | M10=0 | I11=1 | J11=0 | K11=1 | L11=0 | M11=1 | I12=9 | J12=9 | L12=9 | M12=9 | I13=3 | J13=3 | K13=3 | L13=3 | M13=3 | I14==SUM(I10:I13) | J14==SUM(J10:J13) | K14==SUM(K10:K13) | L14==SUM(L10:L13) | M14==SUM(M10:M13)
Commandes,L12,12,12,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,J10=1 | K10=0 | L10=1 | M10=0 | N10=1 | J11=0 | K11=1 | L11=0 | M11=1 | N11=0 | J12=9 | K12=9 | M12=9 | N12=9 | J13=3 | K13=3 | L13=3 | M13=3 | N13=3 | J14==SUM(J10:J13) | K14==SUM(K10:K13) | L14==SUM(L10:L13) | M14==SUM(M10:M13) | N14==SUM(N10:N13)
Commandes,M12,12,13,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,K10=0 | L10=1 | M10=0 | N10=1 | O10==SUM(C10:N10) | K11=1 | L11=0 | M11=1 | N11=0 | O11==SUM(C11:N11) | K12=9 | L12=9 | N12=9 | O12==SUM(C12:N12) | K13=3 | L13=3 | M13=3 | N13=3 | O13==SUM(C13:N13) | K14==SUM(K10:K13) | L14==SUM(L10:L13) | M14==SUM(M10:M13) | N14==SUM(N10:N13) | O14==SUM(O10:O13)
Commandes,N12,12,14,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,L10=1 | M10=0 | N10=1 | O10==SUM(C10:N10) | L11=0 | M11=1 | N11=0 | O11==SUM(C11:N11) | L12=9 | M12=9 | O12==SUM(C12:N12) | L13=3 | M13=3 | N13=3 | O13==SUM(C13:N13) | L14==SUM(L10:L13) | M14==SUM(M10:M13) | N14==SUM(N10:N13) | O14==SUM(O10:O13)
Commandes,C13,13,3,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B11==+B29 | C11=1 | D11=0 | E11=1 | B12==+B30 | C12=9 | D12=9 | E12=9 | B13==+B31 | D13=3 | E13=3 | B14==+B32 | C14==SUM(C10:C13) | D14==SUM(D10:D13) | E14==SUM(E10:E13)
Commandes,D13,13,4,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B11==+B29 | C11=1 | D11=0 | E11=1 | F11=0 | B12==+B30 | C12=9 | D12=9 | E12=9 | F12=9 | B13==+B31 | C13=3 | E13=3 | F13=3 | B14==+B32 | C14==SUM(C10:C13) | D14==SUM(D10:D13) | E14==SUM(E10:E13) | F14==SUM(F10:F13)
Commandes,E13,13,5,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,C11=1 | D11=0 | E11=1 | F11=0 | G11=1 | C12=9 | D12=9 | E12=9 | F12=9 | G12=9 | C13=3 | D13=3 | F13=3 | G13=3 | C14==SUM(C10:C13) | D14==SUM(D10:D13) | E14==SUM(E10:E13) | F14==SUM(F10:F13) | G14==SUM(G10:G13)
Commandes,F13,13,6,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,D11=0 | E11=1 | F11=0 | G11=1 | H11=0 | D12=9 | E12=9 | F12=9 | G12=9 | H12=9 | D13=3 | E13=3 | G13=3 | H13=3 | D14==SUM(D10:D13) | E14==SUM(E10:E13) | F14==SUM(F10:F13) | G14==SUM(G10:G13) | H14==SUM(H10:H13)
Commandes,G13,13,7,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,E11=1 | F11=0 | G11=1 | H11=0 | I11=1 | E12=9 | F12=9 | G12=9 | H12=9 | I12=9 | E13=3 | F13=3 | H13=3 | I13=3 | E14==SUM(E10:E13) | F14==SUM(F10:F13) | G14==SUM(G10:G13) | H14==SUM(H10:H13) | I14==SUM(I10:I13)
Commandes,H13,13,8,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,F11=0 | G11=1 | H11=0 | I11=1 | J11=0 | F12=9 | G12=9 | H12=9 | I12=9 | J12=9 | F13=3 | G13=3 | I13=3 | J13=3 | F14==SUM(F10:F13) | G14==SUM(G10:G13) | H14==SUM(H10:H13) | I14==SUM(I10:I13) | J14==SUM(J10:J13)
Commandes,I13,13,9,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,G11=1 | H11=0 | I11=1 | J11=0 | K11=1 | G12=9 | H12=9 | I12=9 | J12=9 | K12=9 | G13=3 | H13=3 | J13=3 | K13=3 | G14==SUM(G10:G13) | H14==SUM(H10:H13) | I14==SUM(I10:I13) | J14==SUM(J10:J13) | K14==SUM(K10:K13)
Commandes,J13,13,10,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,H11=0 | I11=1 | J11=0 | K11=1 | L11=0 | H12=9 | I12=9 | J12=9 | K12=9 | L12=9 | H13=3 | I13=3 | K13=3 | L13=3 | H14==SUM(H10:H13) | I14==SUM(I10:I13) | J14==SUM(J10:J13) | K14==SUM(K10:K13) | L14==SUM(L10:L13)
Commandes,K13,13,11,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,I11=1 | J11=0 | K11=1 | L11=0 | M11=1 | I12=9 | J12=9 | K12=9 | L12=9 | M12=9 | I13=3 | J13=3 | L13=3 | M13=3 | I14==SUM(I10:I13) | J14==SUM(J10:J13) | K14==SUM(K10:K13) | L14==SUM(L10:L13) | M14==SUM(M10:M13)
Commandes,L13,13,12,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,J11=0 | K11=1 | L11=0 | M11=1 | N11=0 | J12=9 | K12=9 | L12=9 | M12=9 | N12=9 | J13=3 | K13=3 | M13=3 | N13=3 | J14==SUM(J10:J13) | K14==SUM(K10:K13) | L14==SUM(L10:L13) | M14==SUM(M10:M13) | N14==SUM(N10:N13)
Commandes,M13,13,13,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,K11=1 | L11=0 | M11=1 | N11=0 | O11==SUM(C11:N11) | K12=9 | L12=9 | M12=9 | N12=9 | O12==SUM(C12:N12) | K13=3 | L13=3 | N13=3 | O13==SUM(C13:N13) | K14==SUM(K10:K13) | L14==SUM(L10:L13) | M14==SUM(M10:M13) | N14==SUM(N10:N13) | O14==SUM(O10:O13)
Commandes,N13,13,14,NUMBER,3,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,L11=0 | M11=1 | N11=0 | O11==SUM(C11:N11) | L12=9 | M12=9 | N12=9 | O12==SUM(C12:N12) | L13=3 | M13=3 | O13==SUM(C13:N13) | L14==SUM(L10:L13) | M14==SUM(M10:M13) | N14==SUM(N10:N13) | O14==SUM(O10:O13)
Commandes,C17,17,3,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B16==+'Données SOMIDA'!C32 | C16==+C9 | D16==+D9 | E16==+E9 | B17==+B35 | D17=0 | E17=0 | B18==+B36 | C18=0 | D18=0 | E18=0 | B19==+B37 | C19=9 | D19=9 | E19=9
Commandes,D17,17,4,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B16==+'Données SOMIDA'!C32 | C16==+C9 | D16==+D9 | E16==+E9 | F16==+F9 | B17==+B35 | C17=0 | E17=0 | F17=0 | B18==+B36 | C18=0 | D18=0 | E18=0 | F18=0 | B19==+B37 | C19=9 | D19=9 | E19=9 | F19=9
Commandes,E17,17,5,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,C16==+C9 | D16==+D9 | E16==+E9 | F16==+F9 | G16==+G9 | C17=0 | D17=0 | F17=0 | G17=0 | C18=0 | D18=0 | E18=0 | F18=0 | G18=0 | C19=9 | D19=9 | E19=9 | F19=9 | G19=9
Commandes,F17,17,6,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,D16==+D9 | E16==+E9 | F16==+F9 | G16==+G9 | H16==+H9 | D17=0 | E17=0 | G17=0 | H17=0 | D18=0 | E18=0 | F18=0 | G18=0 | H18=0 | D19=9 | E19=9 | F19=9 | G19=9 | H19=9
Commandes,G17,17,7,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,E16==+E9 | F16==+F9 | G16==+G9 | H16==+H9 | I16==+I9 | E17=0 | F17=0 | H17=0 | I17=0 | E18=0 | F18=0 | G18=0 | H18=0 | I18=0 | E19=9 | F19=9 | G19=9 | H19=9 | I19=9
Commandes,H17,17,8,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,F16==+F9 | G16==+G9 | H16==+H9 | I16==+I9 | J16==+J9 | F17=0 | G17=0 | I17=0 | J17=0 | F18=0 | G18=0 | H18=0 | I18=0 | J18=0 | F19=9 | G19=9 | H19=9 | I19=9 | J19=9
Commandes,I17,17,9,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,G16==+G9 | H16==+H9 | I16==+I9 | J16==+J9 | K16==+K9 | G17=0 | H17=0 | J17=0 | K17=0 | G18=0 | H18=0 | I18=0 | J18=0 | K18=0 | G19=9 | H19=9 | I19=9 | J19=9 | K19=9
Commandes,J17,17,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,H16==+H9 | I16==+I9 | J16==+J9 | K16==+K9 | L16==+L9 | H17=0 | I17=0 | K17=0 | L17=0 | H18=0 | I18=0 | J18=0 | K18=0 | L18=0 | H19=9 | I19=9 | J19=9 | K19=9 | L19=9
Commandes,K17,17,11,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,I16==+I9 | J16==+J9 | K16==+K9 | L16==+L9 | M16==+M9 | I17=0 | J17=0 | L17=0 | M17=0 | I18=0 | J18=0 | K18=0 | L18=0 | M18=0 | I19=9 | J19=9 | K19=9 | L19=9 | M19=9
Commandes,L17,17,12,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,J16==+J9 | K16==+K9 | L16==+L9 | M16==+M9 | N16==+N9 | J17=0 | K17=0 | M17=0 | N17=0 | J18=0 | K18=0 | L18=0 | M18=0 | N18=0 | J19=9 | K19=9 | L19=9 | M19=9 | N19=9
Commandes,M17,17,13,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,K16==+K9 | L16==+L9 | M16==+M9 | N16==+N9 | O16==+O9 | K17=0 | L17=0 | N17=0 | O17==SUM(C17:N17) | K18=0 | L18=0 | M18=0 | N18=0 | O18==SUM(C18:N18) | K19=9 | L19=9 | M19=9 | N19=9 | O19==SUM(C19:N19)
Commandes,N17,17,14,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,L16==+L9 | M16==+M9 | N16==+N9 | O16==+O9 | L17=0 | M17=0 | O17==SUM(C17:N17) | L18=0 | M18=0 | N18=0 | O18==SUM(C18:N18) | L19=9 | M19=9 | N19=9 | O19==SUM(C19:N19)
Commandes,C18,18,3,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B16==+'Données SOMIDA'!C32 | C16==+C9 | D16==+D9 | E16==+E9 | B17==+B35 | C17=0 | D17=0 | E17=0 | B18==+B36 | D18=0 | E18=0 | B19==+B37 | C19=9 | D19=9 | E19=9 | B20==+B38 | C20=3 | D20=3 | E20=3
Commandes,D18,18,4,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B16==+'Données SOMIDA'!C32 | C16==+C9 | D16==+D9 | E16==+E9 | F16==+F9 | B17==+B35 | C17=0 | D17=0 | E17=0 | F17=0 | B18==+B36 | C18=0 | E18=0 | F18=0 | B19==+B37 | C19=9 | D19=9 | E19=9 | F19=9 | B20==+B38 | C20=3 | D20=3 | E20=3 | F20=3
Commandes,E18,18,5,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,C16==+C9 | D16==+D9 | E16==+E9 | F16==+F9 | G16==+G9 | C17=0 | D17=0 | E17=0 | F17=0 | G17=0 | C18=0 | D18=0 | F18=0 | G18=0 | C19=9 | D19=9 | E19=9 | F19=9 | G19=9 | C20=3 | D20=3 | E20=3 | F20=3 | G20=3
Commandes,F18,18,6,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,D16==+D9 | E16==+E9 | F16==+F9 | G16==+G9 | H16==+H9 | D17=0 | E17=0 | F17=0 | G17=0 | H17=0 | D18=0 | E18=0 | G18=0 | H18=0 | D19=9 | E19=9 | F19=9 | G19=9 | H19=9 | D20=3 | E20=3 | F20=3 | G20=3 | H20=3
Commandes,G18,18,7,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,E16==+E9 | F16==+F9 | G16==+G9 | H16==+H9 | I16==+I9 | E17=0 | F17=0 | G17=0 | H17=0 | I17=0 | E18=0 | F18=0 | H18=0 | I18=0 | E19=9 | F19=9 | G19=9 | H19=9 | I19=9 | E20=3 | F20=3 | G20=3 | H20=3 | I20=3
Commandes,H18,18,8,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,F16==+F9 | G16==+G9 | H16==+H9 | I16==+I9 | J16==+J9 | F17=0 | G17=0 | H17=0 | I17=0 | J17=0 | F18=0 | G18=0 | I18=0 | J18=0 | F19=9 | G19=9 | H19=9 | I19=9 | J19=9 | F20=3 | G20=3 | H20=3 | I20=3 | J20=3
Commandes,I18,18,9,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,G16==+G9 | H16==+H9 | I16==+I9 | J16==+J9 | K16==+K9 | G17=0 | H17=0 | I17=0 | J17=0 | K17=0 | G18=0 | H18=0 | J18=0 | K18=0 | G19=9 | H19=9 | I19=9 | J19=9 | K19=9 | G20=3 | H20=3 | I20=3 | J20=3 | K20=3
Commandes,J18,18,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,H16==+H9 | I16==+I9 | J16==+J9 | K16==+K9 | L16==+L9 | H17=0 | I17=0 | J17=0 | K17=0 | L17=0 | H18=0 | I18=0 | K18=0 | L18=0 | H19=9 | I19=9 | J19=9 | K19=9 | L19=9 | H20=3 | I20=3 | J20=3 | K20=3 | L20=3
Commandes,K18,18,11,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,I16==+I9 | J16==+J9 | K16==+K9 | L16==+L9 | M16==+M9 | I17=0 | J17=0 | K17=0 | L17=0 | M17=0 | I18=0 | J18=0 | L18=0 | M18=0 | I19=9 | J19=9 | K19=9 | L19=9 | M19=9 | I20=3 | J20=3 | K20=3 | L20=3 | M20=3
Commandes,L18,18,12,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,J16==+J9 | K16==+K9 | L16==+L9 | M16==+M9 | N16==+N9 | J17=0 | K17=0 | L17=0 | M17=0 | N17=0 | J18=0 | K18=0 | M18=0 | N18=0 | J19=9 | K19=9 | L19=9 | M19=9 | N19=9 | J20=3 | K20=3 | L20=3 | M20=3 | N20=3
Commandes,M18,18,13,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,K16==+K9 | L16==+L9 | M16==+M9 | N16==+N9 | O16==+O9 | K17=0 | L17=0 | M17=0 | N17=0 | O17==SUM(C17:N17) | K18=0 | L18=0 | N18=0 | O18==SUM(C18:N18) | K19=9 | L19=9 | M19=9 | N19=9 | O19==SUM(C19:N19) | K20=3 | L20=3 | M20=3 | N20=3 | O20==SUM(C20:N20)
Commandes,N18,18,14,NUMBER,0,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,L16==+L9 | M16==+M9 | N16==+N9 | O16==+O9 | L17=0 | M17=0 | N17=0 | O17==SUM(C17:N17) | L18=0 | M18=0 | O18==SUM(C18:N18) | L19=9 | M19=9 | N19=9 | O19==SUM(C19:N19) | L20=3 | M20=3 | N20=3 | O20==SUM(C20:N20)
Commandes,C19,19,3,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B17==+B35 | C17=0 | D17=0 | E17=0 | B18==+B36 | C18=0 | D18=0 | E18=0 | B19==+B37 | D19=9 | E19=9 | B20==+B38 | C20=3 | D20=3 | E20=3 | B21=Total ABR | C21==SUM(C17:C20) | D21==SUM(D17:D20) | E21==SUM(E17:E20)
Commandes,D19,19,4,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,B17==+B35 | C17=0 | D17=0 | E17=0 | F17=0 | B18==+B36 | C18=0 | D18=0 | E18=0 | F18=0 | B19==+B37 | C19=9 | E19=9 | F19=9 | B20==+B38 | C20=3 | D20=3 | E20=3 | F20=3 | B21=Total ABR | C21==SUM(C17:C20) | D21==SUM(D17:D20) | E21==SUM(E17:E20) | F21==SUM(F17:F20)
Commandes,E19,19,5,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,C17=0 | D17=0 | E17=0 | F17=0 | G17=0 | C18=0 | D18=0 | E18=0 | F18=0 | G18=0 | C19=9 | D19=9 | F19=9 | G19=9 | C20=3 | D20=3 | E20=3 | F20=3 | G20=3 | C21==SUM(C17:C20) | D21==SUM(D17:D20) | E21==SUM(E17:E20) | F21==SUM(F17:F20) | G21==SUM(G17:G20)
Commandes,F19,19,6,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,D17=0 | E17=0 | F17=0 | G17=0 | H17=0 | D18=0 | E18=0 | F18=0 | G18=0 | H18=0 | D19=9 | E19=9 | G19=9 | H19=9 | D20=3 | E20=3 | F20=3 | G20=3 | H20=3 | D21==SUM(D17:D20) | E21==SUM(E17:E20) | F21==SUM(F17:F20) | G21==SUM(G17:G20) | H21==SUM(H17:H20)
Commandes,G19,19,7,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,E17=0 | F17=0 | G17=0 | H17=0 | I17=0 | E18=0 | F18=0 | G18=0 | H18=0 | I18=0 | E19=9 | F19=9 | H19=9 | I19=9 | E20=3 | F20=3 | G20=3 | H20=3 | I20=3 | E21==SUM(E17:E20) | F21==SUM(F17:F20) | G21==SUM(G17:G20) | H21==SUM(H17:H20) | I21==SUM(I17:I20)
Commandes,H19,19,8,NUMBER,9,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),General,F17=0 | G17=0 | H17=0 | I17=0 | J17=0 | F18=0 | G18=0 | H18=0 | I18=0 | J18=0 | F19=9 | G19=9 | I19=9 | J19=9 | F20=3 | G20=3 | H20=3 | I20=3 | J20=3 | F21==SUM(F17:F20) | G21==SUM(G17:G20) | H21==SUM(H17:H20) | I21==SUM(I17:I20) | J21==SUM(J17:J20)
