sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format,context
Données SOMIDA,D63,63,4,NUMBER,0.35,CANDIDATE_PARAMETER,HIGH,29,Constante numérique utilisée par 29 formule(s),0%,C61=Lieux d'achats | C62=Tranomaro | D62=0.25 | E62==+D62*$E$60 | F62==+$F$60*D62 | C63=Ampandrandava | E63==+D63*$E$60 | F63==+$F$60*D63 | C64=Fort dauphin | D64=0.2 | E64==+D64*$E$60 | F64==+$F$60*D64 | C65=Autres | D65==100%-D62-D63-D64 | E65==+D65*$E$60 | F65==+$F$60*D65
Données SOMIDA,D64,64,4,NUMBER,0.2,CANDIDATE_PARAMETER,HIGH,29,Constante numérique utilisée par 29 formule(s),0%,C62=Tranomaro | D62=0.25 | E62==+D62*$E$60 | F62==+$F$60*D62 | C63=Ampandrandava | D63=0.35 | E63==+D63*$E$60 | F63==+$F$60*D63 | C64=Fort dauphin | E64==+D64*$E$60 | F64==+$F$60*D64 | C65=Autres | D65==100%-D62-D63-D64 | E65==+D65*$E$60 | F65==+$F$60*D65 | C66=Benato
Commandes,C6,6,3,NUMBER,28,CANDIDATE_PARAMETER,HIGH,26,Constante numérique utilisée par 26 formule(s),General,B4==+B28 | C4=20 | D4=T/CT | E4==+C4*1000/50 | B5==+B29 | C5=17.8 | D5=T/CT | E5==+C5*1000/50 | B6==+B30 | D6=T/CT | E6==+C6*1000/50 | B7==+B31 | C7=25.2 | D7=T/CT | E7==+C7*1000/50
Commandes,C5,5,3,NUMBER,17.8,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General,B3=Conditionnement | C3=Poids | E3=Nbre Sacs | B4==+B28 | C4=20 | D4=T/CT | E4==+C4*1000/50 | B5==+B29 | D5=T/CT | E5==+C5*1000/50 | B6==+B30 | C6=28 | D6=T/CT | E6==+C6*1000/50 | B7==+B31 | C7=25.2 | D7=T/CT | E7==+C7*1000/50
Commandes,C7,7,3,NUMBER,25.2,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General,B5==+B29 | C5=17.8 | D5=T/CT | E5==+C5*1000/50 | B6==+B30 | C6=28 | D6=T/CT | E6==+C6*1000/50 | B7==+B31 | D7=T/CT | E7==+C7*1000/50 | B9==+'Données SOMIDA'!C31 | C9==+'Besoins en micas'!C2 | D9==+'Besoins en micas'!D2 | E9==+'Besoins en micas'!E2
Données SOMIDA,E27,27,5,NUMBER,1050000,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00",C25=SPLITTING SW1 | C26=SPLITTING SW2 | C27=Loyer 1 | D27==+E27*12 | G27=Dr Jane | C28=Loyer 2 | D28==+E28*12 | E28=918750 | G28=Dr Jane
Données SOMIDA,E28,28,5,NUMBER,918750,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00",C26=SPLITTING SW2 | C27=Loyer 1 | D27==+E27*12 | E27=1050000 | G27=Dr Jane | C28=Loyer 2 | D28==+E28*12 | G28=Dr Jane | C30=Types | D30=Catégories
Données SOMIDA,G71,71,7,NUMBER,250,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00",E70=Locations | G70=Prix Gaz | I70=Croisiere | E71=200 | F71=ar/kg | H71=Ar/kg | I71=Vente | E72=300 | F72=ar/kg | G72=100 | H72=Ar/kg | I72=TRA | E73=300 | F73=ar/kg | G73=250 | H73=Ar/kg
Données SOMIDA,G72,72,7,NUMBER,100,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00",E70=Locations | G70=Prix Gaz | I70=Croisiere | E71=200 | F71=ar/kg | G71=250 | H71=Ar/kg | I71=Vente | E72=300 | F72=ar/kg | H72=Ar/kg | I72=TRA | E73=300 | F73=ar/kg | G73=250 | H73=Ar/kg | G74=450 | H74=Ar/kg | I74==+C79
Données SOMIDA,G74,74,7,NUMBER,450,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00",E72=300 | F72=ar/kg | G72=100 | H72=Ar/kg | I72=TRA | E73=300 | F73=ar/kg | G73=250 | H73=Ar/kg | H74=Ar/kg | I74==+C79 | E75=200 | F75=ar/kg | G75=250 | H75=Ar/kg | I75==+C80 | E76=100 | F76=ar/kg | G76=350 | H76=Ar/kg
Données SOMIDA,G75,75,7,NUMBER,250,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00",E73=300 | F73=ar/kg | G73=250 | H73=Ar/kg | G74=450 | H74=Ar/kg | I74==+C79 | E75=200 | F75=ar/kg | H75=Ar/kg | I75==+C80 | E76=100 | F76=ar/kg | G76=350 | H76=Ar/kg | I77==+C81
Données SOMIDA,D79,79,4,NUMBER,350,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General,C78=Prix de vente | C79==+Commandes!B28 | E79=EUR | F79=FOB | C80==+Commandes!B29 | D80=350 | E80=EUR | F80=FOB | C81=Goodies | D81=425 | E81=USD | F81=CIF
Données SOMIDA,D80,80,4,NUMBER,350,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General,C78=Prix de vente | C79==+Commandes!B28 | D79=350 | E79=EUR | F79=FOB | C80==+Commandes!B29 | E80=EUR | F80=FOB | C81=Goodies | D81=425 | E81=USD | F81=CIF | C82=Elinar | D82=300 | E82=EUR | F82=FOB
Données SOMIDA,D81,81,4,NUMBER,425,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General,C79==+Commandes!B28 | D79=350 | E79=EUR | F79=FOB | C80==+Commandes!B29 | D80=350 | E80=EUR | F80=FOB | C81=Goodies | E81=USD | F81=CIF | C82=Elinar | D82=300 | E82=EUR | F82=FOB | C83=FP1 | D83=450 | E83=EUR | F83=FOB
Données SOMIDA,D82,82,4,NUMBER,300,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General,C80==+Commandes!B29 | D80=350 | E80=EUR | F80=FOB | C81=Goodies | D81=425 | E81=USD | F81=CIF | C82=Elinar | E82=EUR | F82=FOB | C83=FP1 | D83=450 | E83=EUR | F83=FOB | C84=Dr Jane
CA,C43,43,3,NUMBER,0.05,CANDIDATE_PARAMETER,HIGH,24,Constante numérique utilisée par 24 formule(s),0.0%,"B42=Libellés | C42==+C17 | D42==+D17 | E42==+E17 | B43=Produit brut | B44=Produits transformés | C44=0.05 | B45==+B19 | C45==+SUMIF($B$18:$B$31,$B$45,C18:C31)*$C$44 | D45==+SUMIF($B$18:$B$31,$B$45,D18:D31)*$C$44 | E45==+SUMIF($B$18:$B$31,$B$45,E18:E31)*$C$44"
