rule_id,sheet,family,occurrences,pattern,example_cell,example_formula,business_name,business_description,python_function,status
RULE_0055,Stat,CROSS_SHEET_REFERENCE,108,"=VLOOKUP(LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL,3,FALSE)",I4,"=+VLOOKUP(E4,'Données SOMIDA'!$C$71:$E$75,3,FALSE)",,,,TO_REVIEW
RULE_0056,Commandes,MULTIPLICATION,108,=LOCAL_CELL*LOCAL_CELL,C28,=+C10*$C$4,,,,TO_REVIEW
RULE_0057,Calcul,CROSS_SHEET_REFERENCE,108,=REF[CA]*1000,F114,=CA!G59*1000,,,,TO_REVIEW
RULE_0058,Besoins en micas,CROSS_SHEET_REFERENCE,108,"=_XLFN.XLOOKUP(LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL)",C142,"=_xlfn.XLOOKUP(D142,'Données SOMIDA'!$C$31:$C$42,'Données SOMIDA'!$B$31:$B$42)",,,,TO_REVIEW
RULE_0059,Besoins en micas,CROSS_SHEET_REFERENCE,108,"=IF(LOCAL_CELL=""LOCAL_CELLGAZ"",REF[DONNÉESSOMIDA],VLOOKUP(REF[BESOINSENMICAS],REF[DONNÉESSOMIDA]:LOCAL_CELL,5,FALSE))",G142,"=IF(D142=""FP1 GAZ"",'Données SOMIDA'!$G$73,VLOOKUP('Besoins en micas'!E142,'Données SOMIDA'!$C$71:$G$77,5,FALSE))",,,,TO_REVIEW
RULE_0060,Besoins en micas,CROSS_SHEET_REFERENCE,108,"=IF(LOCAL_CELL=""LOCAL_CELLGAZ"",PARAM[AUGMENTATION_GLOBALE_SALAIRE]3,VLOOKUP(LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL,3,FALSE))",I142,"=IF(D142=""FP1 GAZ"",'Données SOMIDA'!$E$73,VLOOKUP(E142,'Données SOMIDA'!$C$71:$E$75,3,FALSE))",,,,TO_REVIEW
RULE_0061,CA,ORDER_DEPENDENCY,108,=REF[COMMANDES],C4,=+Commandes!C28,,,,TO_REVIEW
RULE_0062,CA,CROSS_SHEET_REFERENCE,108,"=IF(LOCAL_CELL=""LOCAL_CELLCOUPE"",REF[DONNÉESSOMIDA],VLOOKUP(LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL,5,FALSE))",H59,"=IF(C59=""FP1 COUPE"",'Données SOMIDA'!$G$83,VLOOKUP(E59,'Données SOMIDA'!$C$79:$G$85,5,FALSE))",,,,TO_REVIEW
RULE_0063,CA,MULTIPLICATION,108,=LOCAL_CELL*LOCAL_CELL,I59,=+G59*H59,,,,TO_REVIEW
RULE_0064,AN,CROSS_SHEET_REFERENCE,108,=-REF[I&T]/1000,D126,=-'I&T'!D3/1000,,,,TO_REVIEW
RULE_0065,Commandes,AGGREGATION,106,=SUM(LOCAL_RANGE),O10,=SUM(C10:N10),,,,TO_REVIEW
RULE_0066,CA,AGGREGATION,105,=SUM(LOCAL_RANGE),O4,=SUM(C4:N4),,,,TO_REVIEW
RULE_0067,Sal,CROSS_SHEET_REFERENCE,102,=REF[FELOCAL_CELL],B30,=+Feuil3!B38,,,,TO_REVIEW
RULE_0068,CR Nature FD,AGGREGATION,102,=SUM(LOCAL_RANGE),O4,=+SUM(C4:N4),,,,TO_REVIEW
RULE_0069,Sal,DIVISION,97,=LOCAL_CELL/LOCAL_CELL,R3,=+P3/$P$7,,,,TO_REVIEW
RULE_0070,Emprunts FD,ARITHMETIC,95,=LOCAL_CELL+1,B15,=+B14+1,,,,TO_REVIEW
RULE_0071,Besoins en micas,ARITHMETIC,90,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,C56,=+C53+C48+C55,,,,TO_REVIEW
RULE_0072,Emprunts FD,MULTIPLICATION,90,"=IF(LOCAL_CELL="""","""",IF(LOCAL_CELL+1>LOCAL_CELL,"""",LOCAL_CELL*LOCAL_CELL))",G20,"=IF(A20="" "","" "",IF(A20+1>$D$8,"" "",E20*$E$8))",,,,TO_REVIEW
RULE_0073,Emprunts FD,ARITHMETIC,89,"=IF(LOCAL_CELL="""","""",IF(LOCAL_CELL+1>LOCAL_CELL,"""",LOCAL_CELL+1))",A21,"=IF(A20="" "","" "",IF(A20+1>$D$8,"" "",A20+1))",,,,TO_REVIEW
RULE_0074,Stat,LOCAL_REFERENCE,88,=LOCAL_CELL,N3,=+B3,,,,TO_REVIEW
RULE_0075,BL,LOCAL_REFERENCE,87,"=RIGHT(LOCAL_CELL,3)",F5,"=RIGHT(A5,3)",,,,TO_REVIEW
RULE_0076,AN,ARITHMETIC,86,=-LOCAL_CELL,H6,=-H8,,,,TO_REVIEW
RULE_0077,AN,ARITHMETIC,86,=-LOCAL_CELL-LOCAL_CELL,C19,=-C13-C18,,,,TO_REVIEW
RULE_0078,Stat,AGGREGATION,84,"=SUMIF(LOCAL_RANGE,LOCAL_CELL,LOCAL_RANGE)",Q4,"=SUMIF($C$4:$F$12,$C$4,$F$4:$F$12)",,,,TO_REVIEW
RULE_0079,Feuil3,CROSS_SHEET_REFERENCE,84,=REF[ORG],B5,=+Org!AC14,,,,TO_REVIEW
RULE_0080,Prestation,MULTIPLICATION,82,=LOCAL_CELL*LOCAL_CELL,D25,=+$C$25*D12,,,,TO_REVIEW
RULE_0081,Production,CROSS_SHEET_REFERENCE,80,=LOCAL_CELL/REF[DONNÉESSOMIDA],D72,=+D71/'Données SOMIDA'!$E$12,,,,TO_REVIEW
RULE_0082,CR Nature FD,ARITHMETIC,79,=LOCAL_CELL-LOCAL_CELL,C14,=C10-C13,,,,TO_REVIEW
RULE_0083,CR Nature FD,LOCAL_REFERENCE,77,=LOCAL_CELL,C38,=+C2,,,,TO_REVIEW
RULE_0084,AMPANDRANDAVA,OTHER,76,"=""SOCIETEDESMINESD'AMPANDRANDAVA""",V2,"=""SOCIETE DES MINES D'AMPANDRANDAVA""",,,,TO_REVIEW
RULE_0085,AN,ARITHMETIC,76,=LOCAL_CELL-LOCAL_CELL,C159,=+C158-C37,,,,TO_REVIEW
RULE_0086,AMPANDRANDAVA,OTHER,74,"=""ESPÈCES""",W2,"=""Espèces""",,,,TO_REVIEW
RULE_0087,AMPANDRANDAVA,OTHER,74,"=""""",C3,"=""""",,,,TO_REVIEW
RULE_0088,FORT DAUPHIN,DIVISION,73,=LOCAL_CELL/LOCAL_CELL,J3,=+J5/D5,,,,TO_REVIEW
RULE_0089,FORT DAUPHIN,MULTIPLICATION,72,=LOCAL_CELL*LOCAL_CELL,L148,=+J148*K148,,,,TO_REVIEW
RULE_0090,Commandes,MULTIPLICATION,72,"=ROUND((+LOCAL_CELL)*(1+LOCAL_CELL),0)*1000",C51,"=ROUND((+C28)*(1+$C$47),0)*1000",,,,TO_REVIEW
RULE_0091,Achat,AGGREGATION,70,=SUM(LOCAL_RANGE),P4,=SUM(D4:O4),,,,TO_REVIEW
RULE_0092,Détails Achats direct,AGGREGATION,69,=SUM(LOCAL_RANGE),P4,=SUM(D4:O4),,,,TO_REVIEW
RULE_0093,Primes,CROSS_SHEET_REFERENCE,67,=REF[ORG],F16,=+Org!M34,,,,TO_REVIEW
RULE_0094,Production,CROSS_SHEET_REFERENCE,65,=-+REF[BESOINSENMICAS],D77,=-+'Besoins en micas'!C113,,,,TO_REVIEW
RULE_0095,Production,AGGREGATION,65,=-SUM(LOCAL_RANGE)*REF[BESOINSENMICAS],D82,=-SUM(D76:D81)*'Besoins en micas'!$P$113,,,,TO_REVIEW
RULE_0096,FORT DAUPHIN,MULTIPLICATION,64,=LOCAL_CELL*13,G141,=+E141*13,,,,TO_REVIEW
RULE_0097,FORT DAUPHIN,MULTIPLICATION,64,=LOCAL_CELL*5,H141,=+F141*5,,,,TO_REVIEW
RULE_0098,Données SOMIDA,LOCAL_REFERENCE,63,=LOCAL_CELL,E11,=+E5,,,,TO_REVIEW
RULE_0099,Feuil3,AGGREGATION,62,=SUM(LOCAL_RANGE),C12,=SUM(C5:C11),,,,TO_REVIEW
RULE_0100,Production,AGGREGATION,60,"=SUMIF(LOCAL_RANGE,LOCAL_CELL,LOCAL_RANGE)",D88,"=SUMIF($B$77:$B$86,$B$77,D77:D86)",,,,TO_REVIEW
RULE_0101,CA,CURRENCY_CONVERSION,60,=LOCAL_CELL*REF[DONNÉESSOMIDA]*PARAM[TAUX_CHANGE_EUR],C19,=+C4*'Données SOMIDA'!$D$79*'Données SOMIDA'!$E$6,,,,TO_REVIEW
RULE_0102,CA,AGGREGATION,60,"=SUMIF(LOCAL_RANGE,LOCAL_CELL,LOCAL_RANGE)*LOCAL_CELL",C45,"=+SUMIF($B$18:$B$31,$B$45,C18:C31)*$C$44",,,,TO_REVIEW
RULE_0103,Primes,MULTIPLICATION,60,=LOCAL_CELL*LOCAL_CELL/12,E65,=+D65*$E$62/12,,,,TO_REVIEW
RULE_0104,Sal,CROSS_SHEET_REFERENCE,56,=REF[BESOINSENMICAS],B3,=+'Besoins en micas'!B82,,,,TO_REVIEW
RULE_0105,Primes,CROSS_SHEET_REFERENCE,56,=REF[BESOINSENMICAS],C3,=+'Besoins en micas'!B3,,,,TO_REVIEW
RULE_0106,Sal,ARITHMETIC,52,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,D195,=+D192+D193+D194,,,,TO_REVIEW
RULE_0107,Etat_Trésorerie FD,AGGREGATION,52,"=SUM(LOCAL_CELL,LOCAL_CELL)",D38,"=SUM(D17,D37)",,,,TO_REVIEW
RULE_0108,AN,ARITHMETIC,52,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,D39,=+D163+D164+D167+D168,,,,TO_REVIEW
RULE_0109,Feuil3,MULTIPLICATION,51,=LOCAL_CELL*1%,N5,=+H5*1%,,,,TO_REVIEW
RULE_0110,Etat_Trésorerie FD,CROSS_SHEET_REFERENCE,51,=REF[LOCAL_CELL-AN],D70,=+D69-AN!D219,,,,TO_REVIEW
RULE_0111,Invest FD,AGGREGATION,51,=SUM(LOCAL_RANGE),O4,=SUM(C4:N4),,,,TO_REVIEW
RULE_0112,Détails FF FD,AGGREGATION,50,=SUM(LOCAL_RANGE),O3,=SUM(C3:N3),,,,TO_REVIEW
RULE_0113,Production,DIVISION,49,"=IFERROR(+LOCAL_CELL/LOCAL_CELL,0)",D71,"=IFERROR(+D68/D69,0)",,,,TO_REVIEW
RULE_0114,Besoins en micas,AGGREGATION,48,"=SUMIF(LOCAL_RANGE,LOCAL_CELL,LOCAL_RANGE)*REF[DONNÉESSOMIDA]",C113,"=SUMIF($B$44:$B$52,$B$113,C44:C52)*'Données SOMIDA'!$N$71",,,,TO_REVIEW
RULE_0115,Besoins en micas,AGGREGATION,48,"=SUMIF(LOCAL_RANGE,LOCAL_CELL,LOCAL_RANGE)",C123,"=SUMIF($B$44:$B$52,$B$113,C44:C52)",,,,TO_REVIEW
RULE_0116,Org (2),LOCAL_REFERENCE,47,=LOCAL_CELL,N21,=+N19,,,,TO_REVIEW
RULE_0117,AMPANDRANDAVA,OTHER,47,"=""JOURNALIER""",U25,"=""JOURNALIER""",,,,TO_REVIEW
RULE_0118,FORT DAUPHIN,AGGREGATION,43,"=SUBTOTAL(9,LOCAL_RANGE)",G5,"=SUBTOTAL(9,G7:G135)",,,,TO_REVIEW
RULE_0119,Org,LOCAL_REFERENCE,43,=LOCAL_CELL,AN31,=+AC14,,,,TO_REVIEW
RULE_0120,Org (2),MULTIPLICATION,43,=LOCAL_CELL*13%,BB14,=+AM14*13%,,,,TO_REVIEW
RULE_0121,CR Nature FD,CROSS_SHEET_REFERENCE,41,=REF[CA],B4,=+CA!B18,,,,TO_REVIEW
RULE_0122,Goodeis,MULTIPLICATION,40,=LOCAL_CELL*LOCAL_CELL,B8,=B6*B7,,,,TO_REVIEW
RULE_0123,Production,CROSS_SHEET_REFERENCE,39,=REF[DONNÉESSOMIDA],B3,=+'Données SOMIDA'!C18,,,,TO_REVIEW
RULE_0124,Production,ARITHMETIC,39,=LOCAL_CELL+LOCAL_CELL-LOCAL_CELL,D59,=+D47+D51-D55,,,,TO_REVIEW
RULE_0125,Besoins en micas,ARITHMETIC,39,=LOCAL_CELL+LOCAL_CELL-LOCAL_CELL,C22,=+C10+C14-C18,,,,TO_REVIEW
RULE_0126,Achat,LOCAL_REFERENCE,39,=LOCAL_CELL,D31,=+D29,,,,TO_REVIEW
RULE_0127,CR Nature FD,SERVICE_DEPENDENCY,39,=REF[PRESTATION],C12,=+Prestation!D71,,,,TO_REVIEW
RULE_0128,CR Nature FD,PURCHASE_DEPENDENCY,38,=REF[ACHAT],C11,=+Achat!D29,,,,TO_REVIEW
RULE_0129,CR Nature FD,CROSS_SHEET_REFERENCE,38,=REF[I&T],C16,=+'I&T'!D12,,,,TO_REVIEW
RULE_0130,Org (2),ARITHMETIC,37,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,BI34,=+AO34+BC34+BF34,,,,TO_REVIEW
RULE_0131,CA,DIVISION,37,"=IFERROR(+LOCAL_CELL/LOCAL_CELL,0)",M77,"=IFERROR(+N77/L77,0)",,,,TO_REVIEW
RULE_0132,I&T,AGGREGATION,37,=SUM(LOCAL_RANGE),P3,=SUM(D3:O3),,,,TO_REVIEW
RULE_0133,Stat,BROKEN_REFERENCE,36,"=VLOOKUP(LOCAL_CELL,#REF!,4,FALSE)",R4,"=+VLOOKUP(O4,#REF!,4,FALSE)",,,,INVALID
RULE_0134,Commandes,MULTIPLICATION,36,"=ROUND((+LOCAL_CELL)*(1-LOCAL_CELL),0)*1000",K51,"=ROUND((+K28)*(1-$C$47),0)*1000",,,,TO_REVIEW
RULE_0135,Production,CROSS_SHEET_REFERENCE,36,=REF[DONNÉESSOMIDA]*1000,D3,=+'Données SOMIDA'!$E$18*1000,,,,TO_REVIEW
RULE_0136,Production,CROSS_SHEET_REFERENCE,36,"=_XLFN.XLOOKUP(LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL)",K139,"=+_xlfn.XLOOKUP(J139,'Données SOMIDA'!$B$18:$B$28,'Données SOMIDA'!$C$18:$C$28)",,,,TO_REVIEW
RULE_0137,Production,PRODUCTION_DEPENDENCY,36,=REF[PRODUCTION],L139,=+Production!D$9,,,,TO_REVIEW
RULE_0138,Production,PRODUCTION_DEPENDENCY,36,=REF[PRODUCTION]*REF[PRODUCTION]/REF[PRODUCTION],N139,=+Production!$D$68*Production!D9/Production!$D$12,,,,TO_REVIEW
RULE_0139,Traitement,DIVISION,36,"=VLOOKUP(LOCAL_CELL,LOCAL_RANGE,2,FALSE)/1000",G20,"=VLOOKUP(E20,$A$20:$B$31,2,FALSE)/1000",,,,TO_REVIEW
RULE_0140,Traitement,LOCAL_REFERENCE,36,"=IF(LOCAL_CELL=MAX(LOCAL_RANGE),LOCAL_CELL,"""")",H20,"=IF(G20=MAX($G$20:$G$31),G20,"""")",,,,TO_REVIEW
RULE_0141,Traitement,DIVISION,36,"=VLOOKUP(LOCAL_CELL,LOCAL_RANGE,2,FALSE)/1000000",G66,"=+VLOOKUP(E66,$A$66:$C$77,2,FALSE)/1000000",,,,TO_REVIEW
RULE_0142,Traitement,DIVISION,36,"=VLOOKUP(LOCAL_CELL,LOCAL_RANGE,3,FALSE)/1000000",H66,"=+VLOOKUP(E66,$A$66:$C$77,3,FALSE)/1000000",,,,TO_REVIEW
RULE_0143,Besoins en micas,YIELD_CALCULATION,36,=LOCAL_CELL*PARAM[RENDEMENT_MICA_BRUT_GAZ],C31,=+C3*'Données SOMIDA'!$D$58,,,,TO_REVIEW
RULE_0144,Besoins en micas,ORDER_DEPENDENCY,36,=REF[COMMANDES],C37,=+Commandes!C32,,,,TO_REVIEW
RULE_0145,Sal,MULTIPLICATION,36,=LOCAL_CELL*LOCAL_CELL*25,D20,=+$C$20*$C$10*25,,,,TO_REVIEW
RULE_0146,Feuil3,ARITHMETIC,34,=LOCAL_CELL+LOCAL_CELL,H5,=+G5+E5,,,,TO_REVIEW
RULE_0147,Détails FF FD,LOCAL_REFERENCE,34,=LOCAL_CELL,C9,=+C2,,,,TO_REVIEW
RULE_0148,Org,MULTIPLICATION,33,=LOCAL_CELL*13%,BB14,=+AM14*13%,,,,TO_REVIEW
RULE_0149,Feuil3,MULTIPLICATION,33,=LOCAL_CELL*LOCAL_CELL,E5,=+C5*D5,,,,TO_REVIEW
RULE_0150,Feuil3,MULTIPLICATION,33,=LOCAL_CELL*0.13,J5,=+H5*0.13,,,,TO_REVIEW
RULE_0151,Feuil3,ARITHMETIC,33,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,K5,=+H5+I5+J5,,,,TO_REVIEW
RULE_0152,Feuil3,ARITHMETIC,33,=LOCAL_CELL-LOCAL_CELL-LOCAL_CELL-LOCAL_CELL,O5,=+H5-L5-M5-N5,,,,TO_REVIEW
RULE_0153,Données SOMIDA,MULTIPLICATION,30,=LOCAL_CELL*12,D18,=+E18*12,,,,TO_REVIEW
RULE_0154,Org,ARITHMETIC,30,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,BG31,=+AW31+BA31+BD31,,,,TO_REVIEW
RULE_0155,Etat_Trésorerie FD,LOCAL_REFERENCE,30,=LOCAL_CELL,D71,=+C79,,,,TO_REVIEW
RULE_0156,Org,MULTIPLICATION,29,=LOCAL_CELL*LOCAL_CELL,AM14,=+AG14*AL14,,,,TO_REVIEW
RULE_0157,Production,BROKEN_REFERENCE,29,=#REF!,D37,=+#REF!,,,,INVALID
RULE_0158,Sal,ARITHMETIC,29,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,C71,=+C70+C66+C60+C46,,,,TO_REVIEW
RULE_0159,Etat_Trésorerie FD,ARITHMETIC,28,=LOCAL_CELL-LOCAL_CELL,E85,=+E84-D85,,,,TO_REVIEW
RULE_0160,Org,LOCAL_REFERENCE,27,"=IF(LOCAL_CELL=""FO"",""PRIMEDERENDEMENT"",""BASE1MOISSALAIRE"")",AU14,"=+IF(AB14=""FO"",""Prime de rendement"",""Base 1 mois salaire"")",,,,TO_REVIEW
RULE_0161,Org (2),MULTIPLICATION,27,=LOCAL_CELL*LOCAL_CELL,AM14,=+AG14*AL14,,,,TO_REVIEW
RULE_0162,Détails,MULTIPLICATION,27,=LOCAL_CELL*LOCAL_CELL,C8,=+$B$8*C4,,,,TO_REVIEW
RULE_0163,Feuil3,MULTIPLICATION,27,=LOCAL_CELL*0.05,I5,=+H5*0.05,,,,TO_REVIEW
RULE_0164,CR Nature FD,DIVISION,27,=LOCAL_CELL/LOCAL_CELL,O37,=+O36/O10,,,,TO_REVIEW
RULE_0165,Détails,ARITHMETIC,26,=LOCAL_CELL+LOCAL_CELL,C6,=+C4+C5,,,,TO_REVIEW
RULE_0166,Production,ARITHMETIC,26,=LOCAL_CELL-LOCAL_CELL,D14,=+D6-D12,,,,TO_REVIEW
RULE_0167,Besoins en micas,DIVISION,26,"=IFERROR(LOCAL_CELL/LOCAL_CELL,"""")",C134,"=+IFERROR(C114/C124,"""")",,,,TO_REVIEW
RULE_0168,Sal,AGGREGATION,26,=-SUM(LOCAL_RANGE),D164,=-SUM(D160:D163),,,,TO_REVIEW
RULE_0169,Prestation,PURCHASE_DEPENDENCY,26,=REF[ACHAT],D18,=+Achat!D2,,,,TO_REVIEW
RULE_0170,CR Nature FD,DIVISION,26,"=IFERROR(+LOCAL_CELL/LOCAL_CELL,"""")",C74,"=IFERROR(+C73/C72,"""")",,,,TO_REVIEW
RULE_0171,Etat_Trésorerie FD,AGGREGATION,26,"=SUM(LOCAL_CELL,LOCAL_CELL,LOCAL_CELL,LOCAL_CELL)",D37,"=SUM(D35,D31,D27,D22)",,,,TO_REVIEW
RULE_0172,Sal,MULTIPLICATION,25,=LOCAL_CELL*0.18,D167,=+D166*0.18,,,,TO_REVIEW
RULE_0173,Amort,AGGREGATION,25,=SUM(LOCAL_RANGE),O3,=SUM(C3:N3),,,,TO_REVIEW
RULE_0174,CR Nature FD,ARITHMETIC,25,=LOCAL_CELL+LOCAL_CELL,C27,=C23+C26,,,,TO_REVIEW
RULE_0175,Etat_Trésorerie FD,CROSS_SHEET_REFERENCE,25,=REF[-(AN]),D21,=-(AN!D75),,,,TO_REVIEW
RULE_0176,AN,CROSS_SHEET_REFERENCE,25,=-REF[CRNATUREFD]/1000,D7,=-'CR Nature FD'!C36/1000,,,,TO_REVIEW
RULE_0177,AN,AGGREGATION,25,=-SUM(LOCAL_RANGE),G96,=-SUM(D95:F95),,,,TO_REVIEW
RULE_0178,AMPANDRANDAVA,OTHER,24,"=""PERMANENT""",U3,"=""PERMANENT""",,,,TO_REVIEW
RULE_0179,Production,AGGREGATION,24,=REF[SUM(CA]:LOCAL_CELL)*1000,D55,=+SUM(CA!C4:C7)*1000,,,,TO_REVIEW
RULE_0180,Besoins en micas,YIELD_CALCULATION,24,=REF[PRODUCTION]/PARAM[RENDEMENT_MICA_BRUT_GAZ],C3,=+Production!D9/'Données SOMIDA'!$D$58,,,,TO_REVIEW
RULE_0181,Besoins en micas,MULTIPLICATION,24,=LOCAL_CELL*(1+LOCAL_CELL),C14,=+C3*(1+$C$8),,,,TO_REVIEW
RULE_0182,Besoins en micas,PURCHASE_ALLOCATION,24,=LOCAL_CELL*PARAM[PART_ACHAT_TRANOMARO],C44,=+C14*'Données SOMIDA'!$D$62,,,,TO_REVIEW
RULE_0183,Besoins en micas,PURCHASE_ALLOCATION,24,=LOCAL_CELL*PARAM[PART_ACHAT_AMPANDRANDAVA],C45,=+C14*'Données SOMIDA'!$D$63,,,,TO_REVIEW
RULE_0184,Besoins en micas,PURCHASE_ALLOCATION,24,=LOCAL_CELL*PARAM[PART_ACHAT_FORT_DAUPHIN],C46,=+C14*'Données SOMIDA'!$D$64,,,,TO_REVIEW
RULE_0185,CA,CURRENCY_CONVERSION,24,=LOCAL_CELL*REF[DONNÉESSOMIDA]*PARAM[TAUX_CHANGE_USD],C21,=+C6*'Données SOMIDA'!$D$81*'Données SOMIDA'!$E$5,,,,TO_REVIEW
RULE_0186,CA,CROSS_SHEET_REFERENCE,24,=LOCAL_CELL*REF[DONNÉESSOMIDA]*REF[DONNÉESSOMIDA],C22,=+C7*'Données SOMIDA'!$D$82*'Données SOMIDA'!$E$12,,,,TO_REVIEW
RULE_0187,CA,OTHER,24,=PARAM[LOYER_1_MENSUEL],H170,=+'Données SOMIDA'!$E$27,,,,TO_REVIEW
RULE_0188,CA,OTHER,24,=PARAM[LOYER_2_MENSUEL],H171,=+'Données SOMIDA'!$E$28,,,,TO_REVIEW
RULE_0189,Sal,MULTIPLICATION,24,=LOCAL_CELL*LOCAL_CELL*LOCAL_CELL,D15,=+$C$15*D8*$C$10,,,,TO_REVIEW
RULE_0190,Sal,ARITHMETIC,24,=-LOCAL_CELL,D169,=-D167,,,,TO_REVIEW
RULE_0191,Primes,MULTIPLICATION,24,"=ROUNDUP(+LOCAL_CELL*LOCAL_CELL,-2)",D41,"=ROUNDUP(+D30*D24,-2)",,,,TO_REVIEW
RULE_0192,Achat,CROSS_SHEET_REFERENCE,24,"=IFERROR(-REF[BESOINSENMICAS],"""")",D5,"=IFERROR(-'Besoins en micas'!C28,"""")",,,,TO_REVIEW
RULE_0193,Achat,AGGREGATION,24,"=SUMIF(LOCAL_RANGE,LOCAL_CELL,LOCAL_RANGE)",D39,"=+SUMIF($R$4:$R$28,$R$4,D4:D28)",,,,TO_REVIEW
RULE_0194,Prestation,AGGREGATION,24,"=SUMIF(LOCAL_RANGE,LOCAL_CELL,LOCAL_RANGE)",D83,"=SUMIF($Q$42:$Q$70,$Q$42,D42:D70)",,,,TO_REVIEW
RULE_0195,CR Nature FD,AGGREGATION,24,=REF[SUM(CA]:LOCAL_CELL),C4,=+SUM(CA!C19:C22),,,,TO_REVIEW
RULE_0196,CR Nature FD,CROSS_SHEET_REFERENCE,24,=REF[AUTRES],C19,=+Autres!C5,,,,TO_REVIEW
RULE_0197,CR Nature FD,CROSS_SHEET_REFERENCE,24,=REF[AMORT],C20,=+Amort!C15,,,,TO_REVIEW
RULE_0198,CR Nature FD,CROSS_SHEET_REFERENCE,24,=REF[FRAISFINANCIER],C25,=+'Frais financier'!C3,,,,TO_REVIEW
RULE_0199,CR Nature FD,SALARY_DEPENDENCY,24,=REF[SAL]+REF[SAL],C46,=+Sal!D184+Sal!D186,,,,TO_REVIEW
RULE_0200,AN,SALARY_DEPENDENCY,24,=REF[SAL]/1000,D89,=Sal!D181/1000,,,,TO_REVIEW
RULE_0201,AN,CROSS_SHEET_REFERENCE,24,=REF[CA],D179,=+CA!D38,,,,TO_REVIEW
RULE_0202,Détails FF FD,ARITHMETIC,24,"=IFERROR(+LOCAL_CELL+LOCAL_CELL,0)",C17,"=IFERROR(+C10+C3,0)",,,,TO_REVIEW
RULE_0203,Feuil1 (2),AGGREGATION,22,"=SUBTOTAL(9,LOCAL_RANGE)",D1,"=SUBTOTAL(9,D4:D28)",,,,TO_REVIEW
RULE_0204,Données SOMIDA,MULTIPLICATION,21,=LOCAL_CELL*25,E18,=+F18*25,,,,TO_REVIEW
RULE_0205,Org (2),ARITHMETIC,21,=LOCAL_CELL+LOCAL_CELL,BE14,=+AM14+BB14,,,,TO_REVIEW
RULE_0206,Org (2),MULTIPLICATION,20,=LOCAL_CELL*5%,AB169,=+N169*5%,,,,TO_REVIEW
RULE_0207,AMPANDRANDAVA,LOCAL_REFERENCE,20,"=""LOCAL_CELL""",F2,"=""M1""",,,,TO_REVIEW
RULE_0208,Données SOMIDA,AGGREGATION,19,=SUM(LOCAL_RANGE),E67,=SUM(E62:E65),,,,TO_REVIEW
RULE_0209,OKB FP1,MULTIPLICATION,19,=LOCAL_CELL*LOCAL_CELL,E16,=B16*C16,,,,TO_REVIEW
RULE_0210,Invest FD,BROKEN_REFERENCE,19,=#REF!,B4,=+#REF!,,,,INVALID
RULE_0211,Org,MULTIPLICATION,18,=LOCAL_CELL*5%,AB63,=+N63*5%,,,,TO_REVIEW
RULE_0212, OKB TRA ABR,MULTIPLICATION,18,=LOCAL_CELL*LOCAL_CELL,E15,=B15*C15,,,,TO_REVIEW
RULE_0213,Org (2),AGGREGATION,18,=SUM(LOCAL_RANGE),N19,=SUM(N15:R18),,,,TO_REVIEW
RULE_0214,AN,CROSS_SHEET_REFERENCE,18,=REF[DÉTAILSFFFD]/1000,D60,=+'Détails FF FD'!C3/1000,,,,TO_REVIEW
RULE_0215,Org (2),MULTIPLICATION,17,=LOCAL_CELL*2,X220,=+J220*2,,,,TO_REVIEW
RULE_0216,Feuil3,MULTIPLICATION,17,"=IF((LOCAL_CELL+LOCAL_CELL)<350000,2000,(LOCAL_CELL+LOCAL_CELL)*0.2)*LOCAL_CELL",L5,"=+IF((D5+F5)<350000,2000,(D5+F5)*0.2)*C5",,,,TO_REVIEW
RULE_0217,CA,PRODUCTION_DEPENDENCY,17,=REF[PRODUCTION],C2,=+Production!D8,,,,TO_REVIEW
RULE_0218,Données SOMIDA,MULTIPLICATION,16,=LOCAL_CELL*(1+LOCAL_CELL)^LOCAL_CELL,F11,=+$E$11*(1+$D$10)^F10,,,,TO_REVIEW
RULE_0219,AMPANDRANDAVA,OTHER,16,"=""MANUTENTIONNAIRE""",D34,"=""MANUTENTIONNAIRE""",,,,TO_REVIEW
RULE_0220,Feuil3,MULTIPLICATION,16,"=IF((LOCAL_CELL+LOCAL_CELL)<350000,2000,(LOCAL_CELL+LOCAL_CELL)*0.2)",L38,"=+IF((D38+F38)<350000,2000,(D38+F38)*0.2)",,,,TO_REVIEW
