sheet,cell,row,column,type,value,number_format,style_id
FORT DAUPHIN,E7,7,5,OTHER,2017-10-25 00:00:00,mm-dd-yy,31
FORT DAUPHIN,G7,7,7,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,H7,7,8,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,I7,7,9,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,J7,7,10,NUMBER,39,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,K7,7,11,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,L7,7,12,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,M7,7,13,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,N7,7,14,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,O7,7,15,NUMBER,2000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,P7,7,16,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,Q7,7,17,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,R7,7,18,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,S7,7,19,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,T7,7,20,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,U7,7,21,NUMBER,115000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,V7,7,22,TEXT,JOURNALIER,General,29
FORT DAUPHIN,W7,7,23,TEXT,TRANOMARO,General,29
FORT DAUPHIN,X7,7,24,TEXT,SOMIDA TRA,General,29
FORT DAUPHIN,Y7,7,25,TEXT,Espèces,General,29
FORT DAUPHIN,Z7,7,26,FORMULA,=+N7/J7,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",39
FORT DAUPHIN,A8,8,1,NUMBER,100135,General,28
FORT DAUPHIN,B8,8,2,TEXT,MONJA,General,29
FORT DAUPHIN,C8,8,3,TEXT,Tovontsoa,General,29
FORT DAUPHIN,D8,8,4,TEXT,MANUTENTIONNAIRE,General,29
FORT DAUPHIN,E8,8,5,OTHER,2017-10-25 00:00:00,mm-dd-yy,31
FORT DAUPHIN,G8,8,7,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,H8,8,8,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,I8,8,9,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,J8,8,10,NUMBER,39,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,K8,8,11,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,L8,8,12,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,M8,8,13,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,N8,8,14,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
