sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format
FORT DAUPHIN,N6,6,14,FORMULA,"=""BRUT""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,O6,6,15,FORMULA,"=""IRSA""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,P6,6,16,FORMULA,"=""RET CNAPS""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,Q6,6,17,FORMULA,"=""RET OSTIE""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,R6,6,18,FORMULA,"=""AVANCES""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,S6,6,19,FORMULA,"=""ANC ARR""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,T6,6,20,FORMULA,"=""NOUV ARR""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,U6,6,21,FORMULA,"=""NET A PAYER""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,V6,6,22,FORMULA,"=""UNITE""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,General
FORT DAUPHIN,W6,6,23,FORMULA,"=""SERVICE""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,General
FORT DAUPHIN,X6,6,24,FORMULA,"=""Intitulé établissement""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,General
FORT DAUPHIN,Y6,6,25,FORMULA,"=""MODE DE PAIEMENT""",CALCULATED,HIGH,0,Cellule contenant une formule Excel,General
